HistoricCandle(open=Quotation(units=899, nano=0), high=Quotation(units=900, nano=0), low=Quotation(units=896, nano=0), close=Quotation(units=900, nano=0), volume=24, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=896, nano=0), high=Quotation(units=896, nano=600000000), low=Quotation(units=896, nano=0), close=Quotation(units=896, nano=0), volume=40, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=896, nano=200000000), high=Quotation(units=898, nano=800000000), low=Quotation(units=890, nano=0), close=Quotation(units=890, nano=0), volume=25, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=895, nano=800000000), high=Quotation(units=895, nano=800000000), low=Quotation(units=895, nano=800000000), close=Quotation(units=895, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=893, nano=600000000), high=Quotation(units=895, nano=600000000), low=Quotation(units=891, nano=200000000), close=Quotation(units=891, nano=200000000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=890, nano=600000000), high=Quotation(units=894, nano=0), low=Quotation(units=888, nano=200000000), close=Quotation(units=893, nano=800000000), volume=16, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=890, nano=200000000), high=Quotation(units=890, nano=200000000), low=Quotation(units=888, nano=800000000), close=Quotation(units=888, nano=800000000), volume=5, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=600000000), high=Quotation(units=888, nano=800000000), low=Quotation(units=888, nano=400000000), close=Quotation(units=888, nano=400000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=891, nano=200000000), high=Quotation(units=891, nano=200000000), low=Quotation(units=891, nano=200000000), close=Quotation(units=891, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=600000000), high=Quotation(units=891, nano=200000000), low=Quotation(units=888, nano=200000000), close=Quotation(units=891, nano=200000000), volume=4, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=891, nano=200000000), high=Quotation(units=891, nano=200000000), low=Quotation(units=891, nano=200000000), close=Quotation(units=891, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=400000000), high=Quotation(units=888, nano=400000000), low=Quotation(units=883, nano=800000000), close=Quotation(units=884, nano=0), volume=52, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=884, nano=0), high=Quotation(units=887, nano=0), low=Quotation(units=884, nano=0), close=Quotation(units=887, nano=0), volume=13, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=887, nano=400000000), high=Quotation(units=887, nano=400000000), low=Quotation(units=884, nano=200000000), close=Quotation(units=884, nano=200000000), volume=4, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=886, nano=0), high=Quotation(units=887, nano=400000000), low=Quotation(units=886, nano=0), close=Quotation(units=887, nano=200000000), volume=4, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=886, nano=800000000), high=Quotation(units=887, nano=0), low=Quotation(units=884, nano=0), close=Quotation(units=884, nano=0), volume=17, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=886, nano=600000000), high=Quotation(units=888, nano=0), low=Quotation(units=884, nano=0), close=Quotation(units=888, nano=0), volume=19, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=400000000), high=Quotation(units=888, nano=400000000), low=Quotation(units=880, nano=0), close=Quotation(units=880, nano=0), volume=28, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=887, nano=400000000), high=Quotation(units=887, nano=400000000), low=Quotation(units=887, nano=400000000), close=Quotation(units=887, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=886, nano=400000000), high=Quotation(units=886, nano=400000000), low=Quotation(units=885, nano=0), close=Quotation(units=885, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=885, nano=200000000), high=Quotation(units=888, nano=0), low=Quotation(units=885, nano=200000000), close=Quotation(units=885, nano=800000000), volume=16, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=0), high=Quotation(units=888, nano=0), low=Quotation(units=880, nano=600000000), close=Quotation(units=885, nano=0), volume=37, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=884, nano=600000000), high=Quotation(units=884, nano=600000000), low=Quotation(units=884, nano=400000000), close=Quotation(units=884, nano=400000000), volume=2, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=884, nano=400000000), high=Quotation(units=885, nano=0), low=Quotation(units=884, nano=400000000), close=Quotation(units=885, nano=0), volume=30, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=887, nano=800000000), high=Quotation(units=887, nano=800000000), low=Quotation(units=885, nano=600000000), close=Quotation(units=887, nano=800000000), volume=4, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=887, nano=800000000), high=Quotation(units=888, nano=0), low=Quotation(units=887, nano=800000000), close=Quotation(units=888, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=0), high=Quotation(units=889, nano=0), low=Quotation(units=888, nano=0), close=Quotation(units=889, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=889, nano=0), high=Quotation(units=895, nano=0), low=Quotation(units=888, nano=600000000), close=Quotation(units=894, nano=0), volume=33, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=892, nano=0), high=Quotation(units=892, nano=0), low=Quotation(units=892, nano=0), close=Quotation(units=892, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=890, nano=200000000), high=Quotation(units=891, nano=200000000), low=Quotation(units=887, nano=800000000), close=Quotation(units=890, nano=600000000), volume=60, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=889, nano=400000000), high=Quotation(units=889, nano=400000000), low=Quotation(units=886, nano=0), close=Quotation(units=886, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=888, nano=800000000), high=Quotation(units=888, nano=800000000), low=Quotation(units=882, nano=0), close=Quotation(units=885, nano=800000000), volume=74, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
