HistoricCandle(open=Quotation(units=48, nano=0), high=Quotation(units=48, nano=500000000), low=Quotation(units=47, nano=910000000), close=Quotation(units=48, nano=430000000), volume=325, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=430000000), high=Quotation(units=48, nano=430000000), low=Quotation(units=47, nano=830000000), close=Quotation(units=48, nano=150000000), volume=273, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=110000000), high=Quotation(units=48, nano=330000000), low=Quotation(units=47, nano=890000000), close=Quotation(units=48, nano=150000000), volume=52, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=290000000), high=Quotation(units=48, nano=880000000), low=Quotation(units=48, nano=150000000), close=Quotation(units=48, nano=600000000), volume=475, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=770000000), high=Quotation(units=48, nano=990000000), low=Quotation(units=48, nano=600000000), close=Quotation(units=48, nano=920000000), volume=360, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=810000000), high=Quotation(units=49, nano=0), low=Quotation(units=47, nano=800000000), close=Quotation(units=48, nano=310000000), volume=1531, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=160000000), high=Quotation(units=48, nano=360000000), low=Quotation(units=47, nano=800000000), close=Quotation(units=48, nano=350000000), volume=300, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=330000000), high=Quotation(units=48, nano=360000000), low=Quotation(units=48, nano=230000000), close=Quotation(units=48, nano=230000000), volume=63, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=340000000), high=Quotation(units=48, nano=360000000), low=Quotation(units=48, nano=210000000), close=Quotation(units=48, nano=240000000), volume=53, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=230000000), high=Quotation(units=48, nano=290000000), low=Quotation(units=48, nano=220000000), close=Quotation(units=48, nano=240000000), volume=37, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=220000000), high=Quotation(units=48, nano=220000000), low=Quotation(units=48, nano=90000000), close=Quotation(units=48, nano=90000000), volume=56, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=80000000), high=Quotation(units=48, nano=180000000), low=Quotation(units=48, nano=10000000), close=Quotation(units=48, nano=180000000), volume=73, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=48, nano=170000000), high=Quotation(units=48, nano=170000000), low=Quotation(units=47, nano=640000000), close=Quotation(units=47, nano=710000000), volume=421, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=47, nano=830000000), high=Quotation(units=47, nano=860000000), low=Quotation(units=47, nano=500000000), close=Quotation(units=47, nano=560000000), volume=381, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=47, nano=570000000), high=Quotation(units=47, nano=810000000), low=Quotation(units=47, nano=430000000), close=Quotation(units=47, nano=430000000), volume=301, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
