HistoricCandle(open=Quotation(units=133, nano=950000000), high=Quotation(units=133, nano=950000000), low=Quotation(units=126, nano=500000000), close=Quotation(units=130, nano=350000000), volume=5252, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=131, nano=100000000), high=Quotation(units=131, nano=600000000), low=Quotation(units=128, nano=550000000), close=Quotation(units=129, nano=700000000), volume=4609, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=129, nano=700000000), high=Quotation(units=131, nano=900000000), low=Quotation(units=129, nano=150000000), close=Quotation(units=131, nano=900000000), volume=3118, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=131, nano=800000000), high=Quotation(units=133, nano=300000000), low=Quotation(units=131, nano=200000000), close=Quotation(units=132, nano=450000000), volume=4875, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=750000000), high=Quotation(units=133, nano=850000000), low=Quotation(units=132, nano=250000000), close=Quotation(units=133, nano=850000000), volume=2090, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=700000000), high=Quotation(units=134, nano=100000000), low=Quotation(units=133, nano=550000000), close=Quotation(units=133, nano=900000000), volume=2781, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=900000000), high=Quotation(units=134, nano=0), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=400000000), volume=1693, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=400000000), high=Quotation(units=133, nano=500000000), low=Quotation(units=133, nano=50000000), close=Quotation(units=133, nano=400000000), volume=1356, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=400000000), high=Quotation(units=133, nano=450000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=50000000), volume=1877, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=0), low=Quotation(units=131, nano=700000000), close=Quotation(units=131, nano=900000000), volume=1405, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=100000000), high=Quotation(units=133, nano=0), low=Quotation(units=131, nano=800000000), close=Quotation(units=132, nano=950000000), volume=1223, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=950000000), high=Quotation(units=133, nano=450000000), low=Quotation(units=132, nano=700000000), close=Quotation(units=133, nano=450000000), volume=974, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=450000000), high=Quotation(units=133, nano=500000000), low=Quotation(units=132, nano=800000000), close=Quotation(units=133, nano=200000000), volume=1171, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=50000000), high=Quotation(units=133, nano=550000000), low=Quotation(units=132, nano=950000000), close=Quotation(units=133, nano=500000000), volume=795, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=550000000), high=Quotation(units=133, nano=750000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=350000000), volume=1249, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=350000000), high=Quotation(units=133, nano=750000000), low=Quotation(units=132, nano=800000000), close=Quotation(units=133, nano=300000000), volume=1226, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
