HistoricCandle(open=Quotation(units=132, nano=700000000), high=Quotation(units=133, nano=100000000), low=Quotation(units=132, nano=550000000), close=Quotation(units=132, nano=850000000), volume=228, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=900000000), high=Quotation(units=132, nano=900000000), low=Quotation(units=132, nano=650000000), close=Quotation(units=132, nano=700000000), volume=10, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=900000000), high=Quotation(units=133, nano=250000000), low=Quotation(units=132, nano=800000000), close=Quotation(units=133, nano=100000000), volume=158, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=200000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=100000000), volume=60, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=200000000), high=Quotation(units=133, nano=200000000), low=Quotation(units=132, nano=750000000), close=Quotation(units=132, nano=750000000), volume=90, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=750000000), high=Quotation(units=132, nano=750000000), low=Quotation(units=132, nano=550000000), close=Quotation(units=132, nano=650000000), volume=150, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=600000000), high=Quotation(units=132, nano=900000000), low=Quotation(units=132, nano=600000000), close=Quotation(units=132, nano=600000000), volume=13, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=850000000), high=Quotation(units=132, nano=850000000), low=Quotation(units=132, nano=500000000), close=Quotation(units=132, nano=750000000), volume=122, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=132, nano=750000000), high=Quotation(units=133, nano=100000000), low=Quotation(units=132, nano=750000000), close=Quotation(units=133, nano=100000000), volume=76, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=100000000), high=Quotation(units=133, nano=150000000), low=Quotation(units=132, nano=600000000), close=Quotation(units=132, nano=800000000), volume=247, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=0), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=0), volume=16, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=150000000), high=Quotation(units=133, nano=200000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=150000000), volume=46, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=0), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=0), volume=15, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=150000000), high=Quotation(units=133, nano=150000000), low=Quotation(units=133, nano=150000000), close=Quotation(units=133, nano=150000000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=200000000), high=Quotation(units=133, nano=200000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=0), volume=30, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=200000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=0), volume=40, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=0), high=Quotation(units=133, nano=200000000), low=Quotation(units=133, nano=0), close=Quotation(units=133, nano=200000000), volume=14, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=200000000), high=Quotation(units=133, nano=350000000), low=Quotation(units=133, nano=200000000), close=Quotation(units=133, nano=350000000), volume=160, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=133, nano=50000000), high=Quotation(units=133, nano=350000000), low=Quotation(units=132, nano=850000000), close=Quotation(units=133, nano=350000000), volume=140, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
