HistoricCandle(open=Quotation(units=17, nano=800000000), high=Quotation(units=18, nano=34000000), low=Quotation(units=17, nano=800000000), close=Quotation(units=17, nano=906000000), volume=48053, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=906000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=866000000), close=Quotation(units=17, nano=908000000), volume=26989, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=938000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=900000000), close=Quotation(units=17, nano=940000000), volume=25986, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=938000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=906000000), close=Quotation(units=17, nano=940000000), volume=9254, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=948000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=900000000), close=Quotation(units=17, nano=936000000), volume=8231, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=936000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=882000000), close=Quotation(units=17, nano=886000000), volume=26109, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=896000000), high=Quotation(units=17, nano=900000000), low=Quotation(units=17, nano=880000000), close=Quotation(units=17, nano=900000000), volume=11540, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=884000000), high=Quotation(units=17, nano=900000000), low=Quotation(units=17, nano=850000000), close=Quotation(units=17, nano=852000000), volume=16334, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=870000000), high=Quotation(units=17, nano=900000000), low=Quotation(units=17, nano=836000000), close=Quotation(units=17, nano=848000000), volume=17446, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=846000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=740000000), close=Quotation(units=17, nano=764000000), volume=15730, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=752000000), high=Quotation(units=17, nano=834000000), low=Quotation(units=17, nano=730000000), close=Quotation(units=17, nano=746000000), volume=9013, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=746000000), high=Quotation(units=17, nano=870000000), low=Quotation(units=17, nano=608000000), close=Quotation(units=17, nano=870000000), volume=18632, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=850000000), high=Quotation(units=17, nano=880000000), low=Quotation(units=17, nano=766000000), close=Quotation(units=17, nano=858000000), volume=11238, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=814000000), high=Quotation(units=17, nano=852000000), low=Quotation(units=17, nano=738000000), close=Quotation(units=17, nano=798000000), volume=9924, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=788000000), high=Quotation(units=17, nano=800000000), low=Quotation(units=17, nano=788000000), close=Quotation(units=17, nano=800000000), volume=6458, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=800000000), high=Quotation(units=17, nano=800000000), low=Quotation(units=17, nano=790000000), close=Quotation(units=17, nano=798000000), volume=2296, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=790000000), high=Quotation(units=17, nano=798000000), low=Quotation(units=17, nano=736000000), close=Quotation(units=17, nano=738000000), volume=4908, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=738000000), high=Quotation(units=17, nano=750000000), low=Quotation(units=17, nano=702000000), close=Quotation(units=17, nano=734000000), volume=9288, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=736000000), high=Quotation(units=17, nano=744000000), low=Quotation(units=17, nano=600000000), close=Quotation(units=17, nano=646000000), volume=14633, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=646000000), high=Quotation(units=17, nano=750000000), low=Quotation(units=17, nano=646000000), close=Quotation(units=17, nano=728000000), volume=5408, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=730000000), high=Quotation(units=17, nano=730000000), low=Quotation(units=17, nano=628000000), close=Quotation(units=17, nano=654000000), volume=5754, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=656000000), high=Quotation(units=17, nano=684000000), low=Quotation(units=17, nano=602000000), close=Quotation(units=17, nano=652000000), volume=7374, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=660000000), high=Quotation(units=17, nano=696000000), low=Quotation(units=17, nano=610000000), close=Quotation(units=17, nano=650000000), volume=11473, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=632000000), high=Quotation(units=17, nano=650000000), low=Quotation(units=17, nano=618000000), close=Quotation(units=17, nano=648000000), volume=12186, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=650000000), high=Quotation(units=17, nano=696000000), low=Quotation(units=17, nano=640000000), close=Quotation(units=17, nano=692000000), volume=19725, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
