HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=250, nano=500000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=250, nano=500000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=400000000), high=Quotation(units=252, nano=500000000), low=Quotation(units=250, nano=400000000), close=Quotation(units=252, nano=500000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=600000000), high=Quotation(units=252, nano=600000000), low=Quotation(units=252, nano=600000000), close=Quotation(units=252, nano=600000000), volume=14, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=600000000), high=Quotation(units=252, nano=600000000), low=Quotation(units=252, nano=600000000), close=Quotation(units=252, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=252, nano=600000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=252, nano=600000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=250, nano=500000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=250, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=700000000), high=Quotation(units=252, nano=700000000), low=Quotation(units=252, nano=700000000), close=Quotation(units=252, nano=700000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=250, nano=500000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=250, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=700000000), high=Quotation(units=252, nano=700000000), low=Quotation(units=252, nano=700000000), close=Quotation(units=252, nano=700000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=250, nano=500000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=250, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=700000000), high=Quotation(units=252, nano=700000000), low=Quotation(units=252, nano=700000000), close=Quotation(units=252, nano=700000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=600000000), high=Quotation(units=250, nano=600000000), low=Quotation(units=250, nano=600000000), close=Quotation(units=250, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=700000000), high=Quotation(units=252, nano=700000000), low=Quotation(units=252, nano=700000000), close=Quotation(units=252, nano=700000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=252, nano=700000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=252, nano=700000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=250, nano=500000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=250, nano=500000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=250, nano=500000000), high=Quotation(units=252, nano=600000000), low=Quotation(units=250, nano=500000000), close=Quotation(units=252, nano=600000000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 40, tzinfo=datetime.timezone.utc), is_complete=True)
