HistoricCandle(open=Quotation(units=255, nano=0), high=Quotation(units=256, nano=600000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=800000000), volume=63, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=800000000), high=Quotation(units=256, nano=0), low=Quotation(units=255, nano=400000000), close=Quotation(units=255, nano=400000000), volume=23, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=600000000), high=Quotation(units=255, nano=600000000), low=Quotation(units=255, nano=600000000), close=Quotation(units=255, nano=600000000), volume=9, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=400000000), high=Quotation(units=255, nano=600000000), low=Quotation(units=255, nano=400000000), close=Quotation(units=255, nano=600000000), volume=35, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=800000000), high=Quotation(units=255, nano=800000000), low=Quotation(units=255, nano=800000000), close=Quotation(units=255, nano=800000000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=600000000), high=Quotation(units=256, nano=0), low=Quotation(units=255, nano=400000000), close=Quotation(units=255, nano=800000000), volume=21, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=800000000), high=Quotation(units=255, nano=800000000), low=Quotation(units=255, nano=400000000), close=Quotation(units=255, nano=400000000), volume=18, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=256, nano=0), high=Quotation(units=256, nano=200000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=200000000), volume=41, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=255, nano=800000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=800000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=600000000), high=Quotation(units=255, nano=600000000), low=Quotation(units=255, nano=600000000), close=Quotation(units=255, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=200000000), high=Quotation(units=255, nano=200000000), low=Quotation(units=254, nano=0), close=Quotation(units=255, nano=200000000), volume=37, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=253, nano=600000000), close=Quotation(units=253, nano=600000000), volume=17, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=251, nano=0), close=Quotation(units=253, nano=0), volume=96, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=251, nano=200000000), high=Quotation(units=253, nano=400000000), low=Quotation(units=251, nano=200000000), close=Quotation(units=252, nano=800000000), volume=16, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=800000000), high=Quotation(units=253, nano=200000000), low=Quotation(units=252, nano=800000000), close=Quotation(units=253, nano=200000000), volume=10, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=200000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=200000000), close=Quotation(units=253, nano=800000000), volume=12, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=600000000), close=Quotation(units=253, nano=800000000), volume=9, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=253, nano=0), low=Quotation(units=252, nano=200000000), close=Quotation(units=253, nano=0), volume=33, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=253, nano=0), low=Quotation(units=253, nano=0), close=Quotation(units=253, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=253, nano=0), low=Quotation(units=252, nano=200000000), close=Quotation(units=252, nano=800000000), volume=11, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=200000000), high=Quotation(units=252, nano=800000000), low=Quotation(units=252, nano=200000000), close=Quotation(units=252, nano=800000000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=800000000), high=Quotation(units=252, nano=800000000), low=Quotation(units=252, nano=800000000), close=Quotation(units=252, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=800000000), high=Quotation(units=253, nano=0), low=Quotation(units=252, nano=800000000), close=Quotation(units=253, nano=0), volume=25, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=252, nano=200000000), high=Quotation(units=252, nano=200000000), low=Quotation(units=252, nano=200000000), close=Quotation(units=252, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=253, nano=0), low=Quotation(units=252, nano=200000000), close=Quotation(units=252, nano=200000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=253, nano=0), low=Quotation(units=252, nano=200000000), close=Quotation(units=252, nano=400000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=254, nano=800000000), low=Quotation(units=252, nano=400000000), close=Quotation(units=254, nano=800000000), volume=76, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=600000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=254, nano=600000000), close=Quotation(units=254, nano=800000000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=253, nano=800000000), close=Quotation(units=253, nano=800000000), volume=8, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=800000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=800000000), close=Quotation(units=253, nano=800000000), volume=14, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=254, nano=800000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=254, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=255, nano=400000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=400000000), volume=24, time=datetime.datetime(2023, 9, 4, 7, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=400000000), high=Quotation(units=255, nano=800000000), low=Quotation(units=255, nano=400000000), close=Quotation(units=255, nano=800000000), volume=37, time=datetime.datetime(2023, 9, 4, 7, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=800000000), high=Quotation(units=256, nano=0), low=Quotation(units=254, nano=600000000), close=Quotation(units=255, nano=800000000), volume=33, time=datetime.datetime(2023, 9, 4, 7, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=256, nano=0), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=0), volume=47, time=datetime.datetime(2023, 9, 4, 7, 45, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=255, nano=800000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=255, nano=800000000), volume=20, time=datetime.datetime(2023, 9, 4, 7, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=800000000), high=Quotation(units=256, nano=0), low=Quotation(units=255, nano=800000000), close=Quotation(units=256, nano=0), volume=8, time=datetime.datetime(2023, 9, 4, 7, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=200000000), high=Quotation(units=255, nano=200000000), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=200000000), volume=46, time=datetime.datetime(2023, 9, 4, 7, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=255, nano=0), high=Quotation(units=255, nano=0), low=Quotation(units=255, nano=0), close=Quotation(units=255, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=800000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=254, nano=800000000), close=Quotation(units=254, nano=800000000), volume=12, time=datetime.datetime(2023, 9, 4, 7, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=800000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=800000000), close=Quotation(units=253, nano=800000000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=600000000), high=Quotation(units=254, nano=600000000), low=Quotation(units=253, nano=400000000), close=Quotation(units=253, nano=400000000), volume=26, time=datetime.datetime(2023, 9, 4, 8, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=400000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=252, nano=600000000), close=Quotation(units=253, nano=400000000), volume=127, time=datetime.datetime(2023, 9, 4, 8, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=800000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=800000000), close=Quotation(units=253, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 4, 8, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=800000000), high=Quotation(units=253, nano=800000000), low=Quotation(units=253, nano=800000000), close=Quotation(units=253, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 4, 8, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=400000000), high=Quotation(units=254, nano=400000000), low=Quotation(units=254, nano=400000000), close=Quotation(units=254, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 4, 8, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=400000000), high=Quotation(units=254, nano=400000000), low=Quotation(units=254, nano=400000000), close=Quotation(units=254, nano=400000000), volume=8, time=datetime.datetime(2023, 9, 4, 8, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=400000000), high=Quotation(units=254, nano=800000000), low=Quotation(units=253, nano=200000000), close=Quotation(units=254, nano=800000000), volume=50, time=datetime.datetime(2023, 9, 4, 8, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=600000000), close=Quotation(units=253, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 4, 8, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=400000000), close=Quotation(units=253, nano=400000000), volume=11, time=datetime.datetime(2023, 9, 4, 8, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=400000000), high=Quotation(units=254, nano=400000000), low=Quotation(units=253, nano=400000000), close=Quotation(units=253, nano=400000000), volume=19, time=datetime.datetime(2023, 9, 4, 8, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=400000000), high=Quotation(units=254, nano=400000000), low=Quotation(units=254, nano=400000000), close=Quotation(units=254, nano=400000000), volume=4, time=datetime.datetime(2023, 9, 4, 8, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=600000000), close=Quotation(units=253, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 4, 8, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=200000000), close=Quotation(units=253, nano=200000000), volume=32, time=datetime.datetime(2023, 9, 4, 8, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=0), high=Quotation(units=254, nano=200000000), low=Quotation(units=253, nano=0), close=Quotation(units=254, nano=200000000), volume=13, time=datetime.datetime(2023, 9, 4, 8, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 8, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 8, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 8, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 8, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=200000000), high=Quotation(units=253, nano=200000000), low=Quotation(units=253, nano=200000000), close=Quotation(units=253, nano=200000000), volume=10, time=datetime.datetime(2023, 9, 4, 8, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=800000000), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=800000000), volume=78, time=datetime.datetime(2023, 9, 4, 8, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 8, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=253, nano=400000000), close=Quotation(units=253, nano=400000000), volume=19, time=datetime.datetime(2023, 9, 4, 8, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=600000000), close=Quotation(units=253, nano=600000000), volume=10, time=datetime.datetime(2023, 9, 4, 8, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=600000000), high=Quotation(units=254, nano=600000000), low=Quotation(units=254, nano=600000000), close=Quotation(units=254, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 4, 8, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=600000000), high=Quotation(units=254, nano=600000000), low=Quotation(units=254, nano=600000000), close=Quotation(units=254, nano=600000000), volume=10, time=datetime.datetime(2023, 9, 4, 8, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=600000000), high=Quotation(units=254, nano=600000000), low=Quotation(units=254, nano=600000000), close=Quotation(units=254, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 4, 8, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=253, nano=600000000), high=Quotation(units=253, nano=600000000), low=Quotation(units=253, nano=200000000), close=Quotation(units=253, nano=200000000), volume=41, time=datetime.datetime(2023, 9, 4, 8, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=254, nano=0), close=Quotation(units=254, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 8, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=254, nano=0), high=Quotation(units=254, nano=0), low=Quotation(units=253, nano=200000000), close=Quotation(units=253, nano=200000000), volume=3, time=datetime.datetime(2023, 9, 4, 8, 43, tzinfo=datetime.timezone.utc), is_complete=True)
