HistoricCandle(open=Quotation(units=28, nano=720000000), high=Quotation(units=28, nano=770000000), low=Quotation(units=28, nano=660000000), close=Quotation(units=28, nano=700000000), volume=69, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=780000000), high=Quotation(units=29, nano=80000000), low=Quotation(units=28, nano=780000000), close=Quotation(units=29, nano=70000000), volume=883, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=29, nano=60000000), high=Quotation(units=29, nano=200000000), low=Quotation(units=28, nano=820000000), close=Quotation(units=29, nano=180000000), volume=621, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=29, nano=190000000), high=Quotation(units=29, nano=200000000), low=Quotation(units=28, nano=950000000), close=Quotation(units=29, nano=100000000), volume=1449, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=29, nano=90000000), high=Quotation(units=29, nano=100000000), low=Quotation(units=28, nano=960000000), close=Quotation(units=29, nano=30000000), volume=230, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=29, nano=40000000), high=Quotation(units=29, nano=80000000), low=Quotation(units=28, nano=970000000), close=Quotation(units=28, nano=970000000), volume=573, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=970000000), high=Quotation(units=28, nano=970000000), low=Quotation(units=28, nano=790000000), close=Quotation(units=28, nano=790000000), volume=126, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=750000000), high=Quotation(units=28, nano=920000000), low=Quotation(units=28, nano=650000000), close=Quotation(units=28, nano=920000000), volume=190, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=920000000), high=Quotation(units=28, nano=950000000), low=Quotation(units=28, nano=710000000), close=Quotation(units=28, nano=860000000), volume=278, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=830000000), high=Quotation(units=28, nano=860000000), low=Quotation(units=28, nano=750000000), close=Quotation(units=28, nano=850000000), volume=258, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=850000000), high=Quotation(units=28, nano=850000000), low=Quotation(units=28, nano=830000000), close=Quotation(units=28, nano=830000000), volume=90, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=850000000), high=Quotation(units=28, nano=960000000), low=Quotation(units=28, nano=850000000), close=Quotation(units=28, nano=960000000), volume=151, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=990000000), high=Quotation(units=28, nano=990000000), low=Quotation(units=28, nano=880000000), close=Quotation(units=28, nano=940000000), volume=99, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=890000000), high=Quotation(units=28, nano=940000000), low=Quotation(units=28, nano=800000000), close=Quotation(units=28, nano=910000000), volume=227, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=890000000), high=Quotation(units=28, nano=890000000), low=Quotation(units=28, nano=890000000), close=Quotation(units=28, nano=890000000), volume=25, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=28, nano=930000000), high=Quotation(units=28, nano=940000000), low=Quotation(units=28, nano=900000000), close=Quotation(units=28, nano=910000000), volume=54, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
