HistoricCandle(open=Quotation(units=0, nano=79600000), high=Quotation(units=0, nano=79950000), low=Quotation(units=0, nano=77150000), close=Quotation(units=0, nano=78100000), volume=1560, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=78400000), high=Quotation(units=0, nano=78650000), low=Quotation(units=0, nano=77600000), close=Quotation(units=0, nano=77700000), volume=1773, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=77700000), high=Quotation(units=0, nano=77700000), low=Quotation(units=0, nano=76950000), close=Quotation(units=0, nano=77000000), volume=1978, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=77000000), high=Quotation(units=0, nano=77000000), low=Quotation(units=0, nano=76700000), close=Quotation(units=0, nano=76900000), volume=408, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76900000), high=Quotation(units=0, nano=76900000), low=Quotation(units=0, nano=76500000), close=Quotation(units=0, nano=76800000), volume=494, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76800000), high=Quotation(units=0, nano=77000000), low=Quotation(units=0, nano=76650000), close=Quotation(units=0, nano=77000000), volume=1009, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76850000), high=Quotation(units=0, nano=77000000), low=Quotation(units=0, nano=76700000), close=Quotation(units=0, nano=77000000), volume=793, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=77000000), high=Quotation(units=0, nano=77750000), low=Quotation(units=0, nano=76350000), close=Quotation(units=0, nano=77750000), volume=1852, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76900000), high=Quotation(units=0, nano=77150000), low=Quotation(units=0, nano=76600000), close=Quotation(units=0, nano=76900000), volume=515, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76700000), high=Quotation(units=0, nano=77000000), low=Quotation(units=0, nano=76650000), close=Quotation(units=0, nano=76950000), volume=1739, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76950000), high=Quotation(units=0, nano=76950000), low=Quotation(units=0, nano=76750000), close=Quotation(units=0, nano=76800000), volume=213, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76850000), high=Quotation(units=0, nano=77000000), low=Quotation(units=0, nano=76350000), close=Quotation(units=0, nano=76750000), volume=1374, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=76600000), high=Quotation(units=0, nano=76600000), low=Quotation(units=0, nano=76550000), close=Quotation(units=0, nano=76550000), volume=1202, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
