HistoricCandle(open=Quotation(units=1604, nano=0), high=Quotation(units=1612, nano=0), low=Quotation(units=1596, nano=0), close=Quotation(units=1600, nano=0), volume=331, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1602, nano=0), high=Quotation(units=1606, nano=0), low=Quotation(units=1600, nano=0), close=Quotation(units=1600, nano=0), volume=120, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1604, nano=0), high=Quotation(units=1634, nano=0), low=Quotation(units=1604, nano=0), close=Quotation(units=1614, nano=0), volume=823, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1608, nano=0), high=Quotation(units=1616, nano=0), low=Quotation(units=1608, nano=0), close=Quotation(units=1610, nano=0), volume=80, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1608, nano=0), high=Quotation(units=1610, nano=0), low=Quotation(units=1608, nano=0), close=Quotation(units=1608, nano=0), volume=41, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1608, nano=0), high=Quotation(units=1608, nano=0), low=Quotation(units=1608, nano=0), close=Quotation(units=1608, nano=0), volume=33, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1608, nano=0), high=Quotation(units=1610, nano=0), low=Quotation(units=1604, nano=0), close=Quotation(units=1610, nano=0), volume=109, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1610, nano=0), high=Quotation(units=1610, nano=0), low=Quotation(units=1606, nano=0), close=Quotation(units=1606, nano=0), volume=20, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1606, nano=0), high=Quotation(units=1610, nano=0), low=Quotation(units=1602, nano=0), close=Quotation(units=1606, nano=0), volume=161, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1606, nano=0), high=Quotation(units=1606, nano=0), low=Quotation(units=1594, nano=0), close=Quotation(units=1594, nano=0), volume=524, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1596, nano=0), high=Quotation(units=1600, nano=0), low=Quotation(units=1594, nano=0), close=Quotation(units=1598, nano=0), volume=55, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
