HistoricCandle(open=Quotation(units=0, nano=14280000), high=Quotation(units=0, nano=14395000), low=Quotation(units=0, nano=14280000), close=Quotation(units=0, nano=14380000), volume=54, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14360000), high=Quotation(units=0, nano=14380000), low=Quotation(units=0, nano=14305000), close=Quotation(units=0, nano=14305000), volume=21, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14325000), high=Quotation(units=0, nano=14330000), low=Quotation(units=0, nano=14200000), close=Quotation(units=0, nano=14200000), volume=46, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14250000), high=Quotation(units=0, nano=14305000), low=Quotation(units=0, nano=14005000), close=Quotation(units=0, nano=14170000), volume=156, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14155000), high=Quotation(units=0, nano=14195000), low=Quotation(units=0, nano=14155000), close=Quotation(units=0, nano=14180000), volume=6, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14200000), high=Quotation(units=0, nano=14285000), low=Quotation(units=0, nano=14190000), close=Quotation(units=0, nano=14285000), volume=25, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14260000), high=Quotation(units=0, nano=14260000), low=Quotation(units=0, nano=14260000), close=Quotation(units=0, nano=14260000), volume=6, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14260000), high=Quotation(units=0, nano=14295000), low=Quotation(units=0, nano=14250000), close=Quotation(units=0, nano=14280000), volume=34, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14280000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14280000), close=Quotation(units=0, nano=14300000), volume=27, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14285000), high=Quotation(units=0, nano=14285000), low=Quotation(units=0, nano=14285000), close=Quotation(units=0, nano=14285000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14265000), close=Quotation(units=0, nano=14265000), volume=18, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14305000), low=Quotation(units=0, nano=14295000), close=Quotation(units=0, nano=14295000), volume=38, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14295000), low=Quotation(units=0, nano=14280000), close=Quotation(units=0, nano=14280000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14295000), low=Quotation(units=0, nano=14290000), close=Quotation(units=0, nano=14290000), volume=4, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14350000), low=Quotation(units=0, nano=14295000), close=Quotation(units=0, nano=14350000), volume=21, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14360000), low=Quotation(units=0, nano=14300000), close=Quotation(units=0, nano=14300000), volume=43, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14300000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14250000), close=Quotation(units=0, nano=14285000), volume=71, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14245000), high=Quotation(units=0, nano=14275000), low=Quotation(units=0, nano=14225000), close=Quotation(units=0, nano=14275000), volume=12, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14285000), high=Quotation(units=0, nano=14295000), low=Quotation(units=0, nano=14230000), close=Quotation(units=0, nano=14230000), volume=13, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14235000), high=Quotation(units=0, nano=14235000), low=Quotation(units=0, nano=14215000), close=Quotation(units=0, nano=14215000), volume=30, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14245000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14245000), close=Quotation(units=0, nano=14300000), volume=36, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14295000), close=Quotation(units=0, nano=14295000), volume=10, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14295000), high=Quotation(units=0, nano=14295000), low=Quotation(units=0, nano=14265000), close=Quotation(units=0, nano=14295000), volume=9, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14260000), high=Quotation(units=0, nano=14300000), low=Quotation(units=0, nano=14255000), close=Quotation(units=0, nano=14260000), volume=15, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14290000), high=Quotation(units=0, nano=14325000), low=Quotation(units=0, nano=14290000), close=Quotation(units=0, nano=14325000), volume=16, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14325000), high=Quotation(units=0, nano=14325000), low=Quotation(units=0, nano=14320000), close=Quotation(units=0, nano=14325000), volume=6, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14290000), high=Quotation(units=0, nano=14325000), low=Quotation(units=0, nano=14290000), close=Quotation(units=0, nano=14325000), volume=2, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14330000), high=Quotation(units=0, nano=14330000), low=Quotation(units=0, nano=14330000), close=Quotation(units=0, nano=14330000), volume=3, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14325000), high=Quotation(units=0, nano=14365000), low=Quotation(units=0, nano=14325000), close=Quotation(units=0, nano=14365000), volume=56, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14335000), high=Quotation(units=0, nano=14345000), low=Quotation(units=0, nano=14310000), close=Quotation(units=0, nano=14335000), volume=6, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14350000), low=Quotation(units=0, nano=14350000), close=Quotation(units=0, nano=14350000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14365000), low=Quotation(units=0, nano=14255000), close=Quotation(units=0, nano=14300000), volume=73, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14285000), high=Quotation(units=0, nano=14285000), low=Quotation(units=0, nano=14285000), close=Quotation(units=0, nano=14285000), volume=1, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14325000), high=Quotation(units=0, nano=14335000), low=Quotation(units=0, nano=14325000), close=Quotation(units=0, nano=14335000), volume=10, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14335000), high=Quotation(units=0, nano=14340000), low=Quotation(units=0, nano=14335000), close=Quotation(units=0, nano=14340000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14340000), high=Quotation(units=0, nano=14360000), low=Quotation(units=0, nano=14300000), close=Quotation(units=0, nano=14360000), volume=21, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14360000), high=Quotation(units=0, nano=14360000), low=Quotation(units=0, nano=14350000), close=Quotation(units=0, nano=14350000), volume=7, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14350000), low=Quotation(units=0, nano=14350000), close=Quotation(units=0, nano=14350000), volume=16, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14350000), low=Quotation(units=0, nano=14350000), close=Quotation(units=0, nano=14350000), volume=9, time=datetime.datetime(2023, 9, 4, 7, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14350000), high=Quotation(units=0, nano=14350000), low=Quotation(units=0, nano=14320000), close=Quotation(units=0, nano=14320000), volume=8, time=datetime.datetime(2023, 9, 4, 7, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=14320000), high=Quotation(units=0, nano=14320000), low=Quotation(units=0, nano=14315000), close=Quotation(units=0, nano=14315000), volume=20, time=datetime.datetime(2023, 9, 4, 7, 42, tzinfo=datetime.timezone.utc), is_complete=True)
