HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=315500000), close=Quotation(units=2, nano=400000000), volume=43985, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=400500000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=367000000), close=Quotation(units=2, nano=401000000), volume=21008, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=400000000), close=Quotation(units=2, nano=401000000), volume=12157, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=400500000), close=Quotation(units=2, nano=401000000), volume=3853, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=1526, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=1951, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=1062, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=714, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=3361, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=1292, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=1160, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=783, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=294, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=732, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=435, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=835, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2, nano=401000000), high=Quotation(units=2, nano=401000000), low=Quotation(units=2, nano=401000000), close=Quotation(units=2, nano=401000000), volume=244, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
