HistoricCandle(open=Quotation(units=0, nano=12728000), high=Quotation(units=0, nano=12892000), low=Quotation(units=0, nano=12728000), close=Quotation(units=0, nano=12860000), volume=5549, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12856000), high=Quotation(units=0, nano=12864000), low=Quotation(units=0, nano=12808000), close=Quotation(units=0, nano=12834000), volume=3744, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12840000), high=Quotation(units=0, nano=12840000), low=Quotation(units=0, nano=12806000), close=Quotation(units=0, nano=12820000), volume=2374, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12814000), high=Quotation(units=0, nano=12814000), low=Quotation(units=0, nano=12754000), close=Quotation(units=0, nano=12782000), volume=2761, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12780000), high=Quotation(units=0, nano=12810000), low=Quotation(units=0, nano=12780000), close=Quotation(units=0, nano=12780000), volume=1047, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12794000), high=Quotation(units=0, nano=12808000), low=Quotation(units=0, nano=12782000), close=Quotation(units=0, nano=12808000), volume=1056, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12796000), high=Quotation(units=0, nano=12812000), low=Quotation(units=0, nano=12794000), close=Quotation(units=0, nano=12810000), volume=648, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12810000), high=Quotation(units=0, nano=12814000), low=Quotation(units=0, nano=12800000), close=Quotation(units=0, nano=12814000), volume=792, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12800000), high=Quotation(units=0, nano=12820000), low=Quotation(units=0, nano=12794000), close=Quotation(units=0, nano=12808000), volume=1506, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12800000), high=Quotation(units=0, nano=12810000), low=Quotation(units=0, nano=12794000), close=Quotation(units=0, nano=12808000), volume=1022, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12808000), high=Quotation(units=0, nano=12808000), low=Quotation(units=0, nano=12734000), close=Quotation(units=0, nano=12788000), volume=1669, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12780000), high=Quotation(units=0, nano=12780000), low=Quotation(units=0, nano=12726000), close=Quotation(units=0, nano=12754000), volume=2095, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12734000), high=Quotation(units=0, nano=12772000), low=Quotation(units=0, nano=12734000), close=Quotation(units=0, nano=12764000), volume=776, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12774000), high=Quotation(units=0, nano=12774000), low=Quotation(units=0, nano=12722000), close=Quotation(units=0, nano=12740000), volume=1896, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12740000), high=Quotation(units=0, nano=12770000), low=Quotation(units=0, nano=12740000), close=Quotation(units=0, nano=12750000), volume=934, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12750000), high=Quotation(units=0, nano=12766000), low=Quotation(units=0, nano=12722000), close=Quotation(units=0, nano=12760000), volume=1700, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=12758000), high=Quotation(units=0, nano=12764000), low=Quotation(units=0, nano=12754000), close=Quotation(units=0, nano=12758000), volume=210, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
