HistoricCandle(open=Quotation(units=291, nano=200000000), high=Quotation(units=293, nano=560000000), low=Quotation(units=291, nano=200000000), close=Quotation(units=293, nano=560000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=291, nano=200000000), high=Quotation(units=291, nano=200000000), low=Quotation(units=291, nano=200000000), close=Quotation(units=291, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=291, nano=190000000), high=Quotation(units=291, nano=190000000), low=Quotation(units=291, nano=190000000), close=Quotation(units=291, nano=190000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=550000000), high=Quotation(units=293, nano=550000000), low=Quotation(units=293, nano=550000000), close=Quotation(units=293, nano=550000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=560000000), high=Quotation(units=293, nano=560000000), low=Quotation(units=291, nano=170000000), close=Quotation(units=291, nano=170000000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=510000000), high=Quotation(units=293, nano=510000000), low=Quotation(units=293, nano=510000000), close=Quotation(units=293, nano=510000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=520000000), high=Quotation(units=293, nano=520000000), low=Quotation(units=293, nano=520000000), close=Quotation(units=293, nano=520000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=520000000), high=Quotation(units=293, nano=520000000), low=Quotation(units=293, nano=520000000), close=Quotation(units=293, nano=520000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=291, nano=150000000), high=Quotation(units=291, nano=150000000), low=Quotation(units=291, nano=100000000), close=Quotation(units=291, nano=100000000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=460000000), high=Quotation(units=293, nano=460000000), low=Quotation(units=293, nano=460000000), close=Quotation(units=293, nano=460000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=293, nano=500000000), high=Quotation(units=293, nano=760000000), low=Quotation(units=291, nano=640000000), close=Quotation(units=291, nano=640000000), volume=59, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=294, nano=0), high=Quotation(units=294, nano=0), low=Quotation(units=294, nano=0), close=Quotation(units=294, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=294, nano=240000000), high=Quotation(units=294, nano=240000000), low=Quotation(units=294, nano=240000000), close=Quotation(units=294, nano=240000000), volume=50, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=294, nano=470000000), high=Quotation(units=294, nano=470000000), low=Quotation(units=294, nano=470000000), close=Quotation(units=294, nano=470000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=292, nano=80000000), high=Quotation(units=292, nano=80000000), low=Quotation(units=292, nano=80000000), close=Quotation(units=292, nano=80000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=292, nano=60000000), high=Quotation(units=292, nano=60000000), low=Quotation(units=292, nano=50000000), close=Quotation(units=292, nano=50000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
