HistoricCandle(open=Quotation(units=11768, nano=500000000), high=Quotation(units=11768, nano=500000000), low=Quotation(units=11767, nano=0), close=Quotation(units=11767, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11863, nano=500000000), high=Quotation(units=11863, nano=500000000), low=Quotation(units=11863, nano=500000000), close=Quotation(units=11863, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11767, nano=0), high=Quotation(units=11767, nano=0), low=Quotation(units=11767, nano=0), close=Quotation(units=11767, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11863, nano=500000000), high=Quotation(units=11863, nano=500000000), low=Quotation(units=11863, nano=500000000), close=Quotation(units=11863, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11765, nano=0), high=Quotation(units=11765, nano=0), low=Quotation(units=11765, nano=0), close=Quotation(units=11765, nano=0), volume=4, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11859, nano=0), high=Quotation(units=11859, nano=0), low=Quotation(units=11859, nano=0), close=Quotation(units=11859, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11762, nano=500000000), high=Quotation(units=11762, nano=500000000), low=Quotation(units=11762, nano=500000000), close=Quotation(units=11762, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11859, nano=0), high=Quotation(units=11859, nano=0), low=Quotation(units=11859, nano=0), close=Quotation(units=11859, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11762, nano=500000000), high=Quotation(units=11762, nano=500000000), low=Quotation(units=11762, nano=500000000), close=Quotation(units=11762, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11859, nano=0), high=Quotation(units=11859, nano=0), low=Quotation(units=11859, nano=0), close=Quotation(units=11859, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11762, nano=500000000), high=Quotation(units=11762, nano=500000000), low=Quotation(units=11762, nano=500000000), close=Quotation(units=11762, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
