HistoricCandle(open=Quotation(units=0, nano=900000000), high=Quotation(units=0, nano=905000000), low=Quotation(units=0, nano=889000000), close=Quotation(units=0, nano=895000000), volume=511, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=894000000), high=Quotation(units=0, nano=896000000), low=Quotation(units=0, nano=894000000), close=Quotation(units=0, nano=894500000), volume=235, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=894500000), high=Quotation(units=0, nano=894500000), low=Quotation(units=0, nano=894000000), close=Quotation(units=0, nano=894500000), volume=478, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=895000000), high=Quotation(units=0, nano=898500000), low=Quotation(units=0, nano=894500000), close=Quotation(units=0, nano=896000000), volume=208, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=895500000), high=Quotation(units=0, nano=896500000), low=Quotation(units=0, nano=894000000), close=Quotation(units=0, nano=894000000), volume=228, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=894000000), high=Quotation(units=0, nano=894000000), low=Quotation(units=0, nano=894000000), close=Quotation(units=0, nano=894000000), volume=77, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=893500000), high=Quotation(units=0, nano=894000000), low=Quotation(units=0, nano=893000000), close=Quotation(units=0, nano=893000000), volume=52, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=894000000), high=Quotation(units=0, nano=894000000), low=Quotation(units=0, nano=892000000), close=Quotation(units=0, nano=892000000), volume=144, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=893000000), high=Quotation(units=0, nano=894000000), low=Quotation(units=0, nano=892500000), close=Quotation(units=0, nano=893000000), volume=64, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=894000000), high=Quotation(units=0, nano=894000000), low=Quotation(units=0, nano=892000000), close=Quotation(units=0, nano=892000000), volume=63, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=892000000), high=Quotation(units=0, nano=892000000), low=Quotation(units=0, nano=890500000), close=Quotation(units=0, nano=890500000), volume=98, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=890000000), high=Quotation(units=0, nano=893500000), low=Quotation(units=0, nano=889000000), close=Quotation(units=0, nano=890000000), volume=254, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=892000000), high=Quotation(units=0, nano=892500000), low=Quotation(units=0, nano=886000000), close=Quotation(units=0, nano=887000000), volume=447, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=887000000), high=Quotation(units=0, nano=888000000), low=Quotation(units=0, nano=887000000), close=Quotation(units=0, nano=888000000), volume=13, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=888000000), high=Quotation(units=0, nano=890000000), low=Quotation(units=0, nano=888000000), close=Quotation(units=0, nano=889500000), volume=23, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=888000000), high=Quotation(units=0, nano=888000000), low=Quotation(units=0, nano=873500000), close=Quotation(units=0, nano=881000000), volume=3113, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=881500000), high=Quotation(units=0, nano=881500000), low=Quotation(units=0, nano=881000000), close=Quotation(units=0, nano=881000000), volume=40, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=881000000), high=Quotation(units=0, nano=883000000), low=Quotation(units=0, nano=881000000), close=Quotation(units=0, nano=883000000), volume=395, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=881000000), high=Quotation(units=0, nano=882000000), low=Quotation(units=0, nano=879500000), close=Quotation(units=0, nano=882000000), volume=245, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=881500000), high=Quotation(units=0, nano=883000000), low=Quotation(units=0, nano=881500000), close=Quotation(units=0, nano=882000000), volume=306, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=883000000), high=Quotation(units=0, nano=883000000), low=Quotation(units=0, nano=883000000), close=Quotation(units=0, nano=883000000), volume=56, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=883000000), high=Quotation(units=0, nano=883000000), low=Quotation(units=0, nano=881000000), close=Quotation(units=0, nano=881000000), volume=73, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=882500000), high=Quotation(units=0, nano=882500000), low=Quotation(units=0, nano=877000000), close=Quotation(units=0, nano=879000000), volume=555, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=879000000), high=Quotation(units=0, nano=880000000), low=Quotation(units=0, nano=878000000), close=Quotation(units=0, nano=880000000), volume=127, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=881000000), high=Quotation(units=0, nano=881000000), low=Quotation(units=0, nano=879000000), close=Quotation(units=0, nano=880000000), volume=140, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
