HistoricCandle(open=Quotation(units=0, nano=672600000), high=Quotation(units=0, nano=672600000), low=Quotation(units=0, nano=672600000), close=Quotation(units=0, nano=672600000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678100000), high=Quotation(units=0, nano=678100000), low=Quotation(units=0, nano=678100000), close=Quotation(units=0, nano=678100000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678200000), high=Quotation(units=0, nano=678200000), low=Quotation(units=0, nano=678200000), close=Quotation(units=0, nano=678200000), volume=21, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678200000), high=Quotation(units=0, nano=678200000), low=Quotation(units=0, nano=678200000), close=Quotation(units=0, nano=678200000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=672700000), high=Quotation(units=0, nano=672700000), low=Quotation(units=0, nano=672700000), close=Quotation(units=0, nano=672700000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678200000), high=Quotation(units=0, nano=678200000), low=Quotation(units=0, nano=678200000), close=Quotation(units=0, nano=678200000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678200000), high=Quotation(units=0, nano=678200000), low=Quotation(units=0, nano=678200000), close=Quotation(units=0, nano=678200000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678300000), high=Quotation(units=0, nano=678300000), low=Quotation(units=0, nano=678300000), close=Quotation(units=0, nano=678300000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678300000), high=Quotation(units=0, nano=678300000), low=Quotation(units=0, nano=678300000), close=Quotation(units=0, nano=678300000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678300000), high=Quotation(units=0, nano=678300000), low=Quotation(units=0, nano=678300000), close=Quotation(units=0, nano=678300000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678500000), high=Quotation(units=0, nano=678700000), low=Quotation(units=0, nano=678500000), close=Quotation(units=0, nano=678700000), volume=88, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=678700000), high=Quotation(units=0, nano=678700000), low=Quotation(units=0, nano=678700000), close=Quotation(units=0, nano=678700000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=672100000), high=Quotation(units=0, nano=672100000), low=Quotation(units=0, nano=672100000), close=Quotation(units=0, nano=672100000), volume=447, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=670000000), high=Quotation(units=0, nano=670000000), low=Quotation(units=0, nano=670000000), close=Quotation(units=0, nano=670000000), volume=459, time=datetime.datetime(2023, 9, 2, 12, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=674400000), high=Quotation(units=0, nano=674400000), low=Quotation(units=0, nano=674400000), close=Quotation(units=0, nano=674400000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=674400000), high=Quotation(units=0, nano=674400000), low=Quotation(units=0, nano=674400000), close=Quotation(units=0, nano=674400000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 44, tzinfo=datetime.timezone.utc), is_complete=True)
