HistoricCandle(open=Quotation(units=533, nano=800000000), high=Quotation(units=533, nano=800000000), low=Quotation(units=533, nano=800000000), close=Quotation(units=533, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=533, nano=600000000), high=Quotation(units=533, nano=600000000), low=Quotation(units=533, nano=600000000), close=Quotation(units=533, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=538, nano=200000000), high=Quotation(units=538, nano=200000000), low=Quotation(units=538, nano=200000000), close=Quotation(units=538, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
