HistoricCandle(open=Quotation(units=12890, nano=0), high=Quotation(units=13090, nano=0), low=Quotation(units=12795, nano=0), close=Quotation(units=12975, nano=0), volume=280, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=12945, nano=0), high=Quotation(units=13100, nano=0), low=Quotation(units=12945, nano=0), close=Quotation(units=13090, nano=0), volume=260, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13095, nano=0), high=Quotation(units=13125, nano=0), low=Quotation(units=13000, nano=0), close=Quotation(units=13030, nano=0), volume=186, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13030, nano=0), high=Quotation(units=13035, nano=0), low=Quotation(units=13000, nano=0), close=Quotation(units=13025, nano=0), volume=97, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13010, nano=0), high=Quotation(units=13510, nano=0), low=Quotation(units=12900, nano=0), close=Quotation(units=13455, nano=0), volume=1654, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13420, nano=0), high=Quotation(units=13645, nano=0), low=Quotation(units=13410, nano=0), close=Quotation(units=13515, nano=0), volume=1257, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13515, nano=0), high=Quotation(units=13590, nano=0), low=Quotation(units=13195, nano=0), close=Quotation(units=13250, nano=0), volume=746, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13245, nano=0), high=Quotation(units=13350, nano=0), low=Quotation(units=13100, nano=0), close=Quotation(units=13250, nano=0), volume=500, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13265, nano=0), high=Quotation(units=13305, nano=0), low=Quotation(units=13155, nano=0), close=Quotation(units=13175, nano=0), volume=222, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13175, nano=0), high=Quotation(units=13420, nano=0), low=Quotation(units=13160, nano=0), close=Quotation(units=13305, nano=0), volume=425, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13310, nano=0), high=Quotation(units=13345, nano=0), low=Quotation(units=13210, nano=0), close=Quotation(units=13220, nano=0), volume=139, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13220, nano=0), high=Quotation(units=13270, nano=0), low=Quotation(units=13205, nano=0), close=Quotation(units=13255, nano=0), volume=125, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13245, nano=0), high=Quotation(units=13345, nano=0), low=Quotation(units=13235, nano=0), close=Quotation(units=13300, nano=0), volume=206, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13320, nano=0), high=Quotation(units=13320, nano=0), low=Quotation(units=13250, nano=0), close=Quotation(units=13255, nano=0), volume=136, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13290, nano=0), high=Quotation(units=13295, nano=0), low=Quotation(units=13210, nano=0), close=Quotation(units=13240, nano=0), volume=72, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13215, nano=0), high=Quotation(units=13255, nano=0), low=Quotation(units=13100, nano=0), close=Quotation(units=13110, nano=0), volume=318, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13140, nano=0), high=Quotation(units=13180, nano=0), low=Quotation(units=13110, nano=0), close=Quotation(units=13180, nano=0), volume=51, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13180, nano=0), high=Quotation(units=13205, nano=0), low=Quotation(units=13155, nano=0), close=Quotation(units=13190, nano=0), volume=55, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13190, nano=0), high=Quotation(units=13190, nano=0), low=Quotation(units=13160, nano=0), close=Quotation(units=13160, nano=0), volume=105, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13160, nano=0), high=Quotation(units=13165, nano=0), low=Quotation(units=13105, nano=0), close=Quotation(units=13140, nano=0), volume=168, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13145, nano=0), high=Quotation(units=13200, nano=0), low=Quotation(units=13120, nano=0), close=Quotation(units=13135, nano=0), volume=118, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13170, nano=0), high=Quotation(units=13180, nano=0), low=Quotation(units=13140, nano=0), close=Quotation(units=13165, nano=0), volume=52, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13195, nano=0), high=Quotation(units=13195, nano=0), low=Quotation(units=13185, nano=0), close=Quotation(units=13190, nano=0), volume=28, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13170, nano=0), high=Quotation(units=13185, nano=0), low=Quotation(units=13165, nano=0), close=Quotation(units=13165, nano=0), volume=18, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13185, nano=0), high=Quotation(units=13185, nano=0), low=Quotation(units=13165, nano=0), close=Quotation(units=13165, nano=0), volume=22, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13180, nano=0), high=Quotation(units=13200, nano=0), low=Quotation(units=13180, nano=0), close=Quotation(units=13195, nano=0), volume=46, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13185, nano=0), high=Quotation(units=13195, nano=0), low=Quotation(units=13150, nano=0), close=Quotation(units=13150, nano=0), volume=39, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13165, nano=0), high=Quotation(units=13185, nano=0), low=Quotation(units=13145, nano=0), close=Quotation(units=13145, nano=0), volume=22, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13140, nano=0), high=Quotation(units=13170, nano=0), low=Quotation(units=13135, nano=0), close=Quotation(units=13165, nano=0), volume=25, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13165, nano=0), high=Quotation(units=13165, nano=0), low=Quotation(units=13130, nano=0), close=Quotation(units=13130, nano=0), volume=24, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13140, nano=0), high=Quotation(units=13140, nano=0), low=Quotation(units=13130, nano=0), close=Quotation(units=13140, nano=0), volume=27, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13140, nano=0), high=Quotation(units=13160, nano=0), low=Quotation(units=13115, nano=0), close=Quotation(units=13160, nano=0), volume=50, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13170, nano=0), high=Quotation(units=13175, nano=0), low=Quotation(units=13135, nano=0), close=Quotation(units=13145, nano=0), volume=18, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13145, nano=0), high=Quotation(units=13145, nano=0), low=Quotation(units=13140, nano=0), close=Quotation(units=13140, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13135, nano=0), high=Quotation(units=13135, nano=0), low=Quotation(units=13125, nano=0), close=Quotation(units=13125, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13140, nano=0), high=Quotation(units=13175, nano=0), low=Quotation(units=13120, nano=0), close=Quotation(units=13175, nano=0), volume=71, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13185, nano=0), high=Quotation(units=13295, nano=0), low=Quotation(units=13185, nano=0), close=Quotation(units=13290, nano=0), volume=159, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13290, nano=0), high=Quotation(units=13290, nano=0), low=Quotation(units=13165, nano=0), close=Quotation(units=13205, nano=0), volume=107, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13185, nano=0), high=Quotation(units=13210, nano=0), low=Quotation(units=13150, nano=0), close=Quotation(units=13170, nano=0), volume=71, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=13160, nano=0), high=Quotation(units=13190, nano=0), low=Quotation(units=13160, nano=0), close=Quotation(units=13190, nano=0), volume=21, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
