HistoricCandle(open=Quotation(units=4240, nano=0), high=Quotation(units=4261, nano=0), low=Quotation(units=4231, nano=0), close=Quotation(units=4232, nano=0), volume=256, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4256, nano=500000000), high=Quotation(units=4261, nano=500000000), low=Quotation(units=4232, nano=500000000), close=Quotation(units=4247, nano=500000000), volume=417, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4254, nano=500000000), high=Quotation(units=4259, nano=0), low=Quotation(units=4228, nano=0), close=Quotation(units=4259, nano=0), volume=266, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4257, nano=0), high=Quotation(units=4287, nano=0), low=Quotation(units=4238, nano=0), close=Quotation(units=4282, nano=0), volume=538, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4263, nano=0), high=Quotation(units=4300, nano=0), low=Quotation(units=4263, nano=0), close=Quotation(units=4296, nano=0), volume=212, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4296, nano=0), high=Quotation(units=4326, nano=0), low=Quotation(units=4286, nano=500000000), close=Quotation(units=4304, nano=0), volume=567, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4308, nano=0), high=Quotation(units=4328, nano=500000000), low=Quotation(units=4285, nano=0), close=Quotation(units=4294, nano=500000000), volume=975, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4285, nano=500000000), high=Quotation(units=4294, nano=500000000), low=Quotation(units=4215, nano=500000000), close=Quotation(units=4263, nano=0), volume=835, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4255, nano=0), high=Quotation(units=4265, nano=500000000), low=Quotation(units=4254, nano=500000000), close=Quotation(units=4265, nano=500000000), volume=112, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4260, nano=0), high=Quotation(units=4269, nano=500000000), low=Quotation(units=4260, nano=0), close=Quotation(units=4265, nano=0), volume=127, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4262, nano=0), high=Quotation(units=4272, nano=500000000), low=Quotation(units=4262, nano=0), close=Quotation(units=4270, nano=0), volume=129, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4272, nano=500000000), high=Quotation(units=4281, nano=500000000), low=Quotation(units=4260, nano=500000000), close=Quotation(units=4260, nano=500000000), volume=91, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4260, nano=500000000), high=Quotation(units=4260, nano=500000000), low=Quotation(units=4251, nano=500000000), close=Quotation(units=4258, nano=0), volume=103, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4260, nano=0), high=Quotation(units=4319, nano=500000000), low=Quotation(units=4260, nano=0), close=Quotation(units=4316, nano=500000000), volume=1743, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4316, nano=500000000), high=Quotation(units=4316, nano=500000000), low=Quotation(units=4310, nano=0), close=Quotation(units=4315, nano=0), volume=1031, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4315, nano=0), high=Quotation(units=4328, nano=0), low=Quotation(units=4314, nano=0), close=Quotation(units=4328, nano=0), volume=935, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=4328, nano=0), high=Quotation(units=4330, nano=0), low=Quotation(units=4317, nano=0), close=Quotation(units=4330, nano=0), volume=542, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
