HistoricCandle(open=Quotation(units=16250, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16250, nano=0), volume=9, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16240, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16240, nano=0), close=Quotation(units=16250, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16220, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16220, nano=0), close=Quotation(units=16240, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16250, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16210, nano=0), close=Quotation(units=16250, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16240, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16210, nano=0), close=Quotation(units=16210, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16240, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=17, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16230, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16230, nano=0), close=Quotation(units=16240, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16240, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16170, nano=0), close=Quotation(units=16170, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16180, nano=0), high=Quotation(units=16180, nano=0), low=Quotation(units=16150, nano=0), close=Quotation(units=16150, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16160, nano=0), high=Quotation(units=16160, nano=0), low=Quotation(units=16150, nano=0), close=Quotation(units=16150, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16180, nano=0), high=Quotation(units=16180, nano=0), low=Quotation(units=16180, nano=0), close=Quotation(units=16180, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16190, nano=0), high=Quotation(units=16190, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16190, nano=0), high=Quotation(units=16190, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16190, nano=0), high=Quotation(units=16200, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16200, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16180, nano=0), high=Quotation(units=16180, nano=0), low=Quotation(units=16180, nano=0), close=Quotation(units=16180, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16210, nano=0), high=Quotation(units=16230, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16220, nano=0), high=Quotation(units=16240, nano=0), low=Quotation(units=16220, nano=0), close=Quotation(units=16240, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16250, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16250, nano=0), close=Quotation(units=16250, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16220, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16200, nano=0), close=Quotation(units=16250, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16240, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16240, nano=0), close=Quotation(units=16240, nano=0), volume=14, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16250, nano=0), high=Quotation(units=16250, nano=0), low=Quotation(units=16150, nano=0), close=Quotation(units=16230, nano=0), volume=182, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16190, nano=0), high=Quotation(units=16190, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=16190, nano=0), high=Quotation(units=16190, nano=0), low=Quotation(units=16190, nano=0), close=Quotation(units=16190, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
