HistoricCandle(open=Quotation(units=0, nano=120000000), high=Quotation(units=0, nano=120000000), low=Quotation(units=0, nano=114950000), close=Quotation(units=0, nano=116500000), volume=3257, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=116500000), high=Quotation(units=0, nano=117550000), low=Quotation(units=0, nano=114350000), close=Quotation(units=0, nano=114500000), volume=2516, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=115000000), high=Quotation(units=0, nano=115600000), low=Quotation(units=0, nano=114650000), close=Quotation(units=0, nano=115300000), volume=1184, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=115000000), high=Quotation(units=0, nano=115450000), low=Quotation(units=0, nano=115000000), close=Quotation(units=0, nano=115000000), volume=894, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=115150000), high=Quotation(units=0, nano=115350000), low=Quotation(units=0, nano=114950000), close=Quotation(units=0, nano=115200000), volume=623, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=115300000), high=Quotation(units=0, nano=115400000), low=Quotation(units=0, nano=113150000), close=Quotation(units=0, nano=114550000), volume=1586, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=114200000), high=Quotation(units=0, nano=114450000), low=Quotation(units=0, nano=113050000), close=Quotation(units=0, nano=113950000), volume=3646, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=113800000), high=Quotation(units=0, nano=113800000), low=Quotation(units=0, nano=112000000), close=Quotation(units=0, nano=112250000), volume=2861, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=112550000), high=Quotation(units=0, nano=112900000), low=Quotation(units=0, nano=110300000), close=Quotation(units=0, nano=111650000), volume=4523, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=111400000), high=Quotation(units=0, nano=112350000), low=Quotation(units=0, nano=111350000), close=Quotation(units=0, nano=112150000), volume=1195, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=112350000), high=Quotation(units=0, nano=112350000), low=Quotation(units=0, nano=111500000), close=Quotation(units=0, nano=111750000), volume=2375, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
