HistoricCandle(open=Quotation(units=0, nano=384800000), high=Quotation(units=0, nano=384900000), low=Quotation(units=0, nano=380600000), close=Quotation(units=0, nano=382500000), volume=162, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=382800000), high=Quotation(units=0, nano=384100000), low=Quotation(units=0, nano=382100000), close=Quotation(units=0, nano=382100000), volume=537, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=381900000), high=Quotation(units=0, nano=382900000), low=Quotation(units=0, nano=381200000), close=Quotation(units=0, nano=381400000), volume=104, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=381300000), high=Quotation(units=0, nano=381900000), low=Quotation(units=0, nano=381300000), close=Quotation(units=0, nano=381400000), volume=287, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=381300000), high=Quotation(units=0, nano=381400000), low=Quotation(units=0, nano=380000000), close=Quotation(units=0, nano=380200000), volume=500, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380800000), high=Quotation(units=0, nano=381400000), low=Quotation(units=0, nano=380600000), close=Quotation(units=0, nano=381100000), volume=251, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380600000), high=Quotation(units=0, nano=380900000), low=Quotation(units=0, nano=380100000), close=Quotation(units=0, nano=380700000), volume=151, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380700000), high=Quotation(units=0, nano=381100000), low=Quotation(units=0, nano=380100000), close=Quotation(units=0, nano=380100000), volume=484, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380100000), high=Quotation(units=0, nano=380500000), low=Quotation(units=0, nano=380000000), close=Quotation(units=0, nano=380000000), volume=400, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380100000), high=Quotation(units=0, nano=380100000), low=Quotation(units=0, nano=379100000), close=Quotation(units=0, nano=379100000), volume=81, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=379200000), high=Quotation(units=0, nano=380400000), low=Quotation(units=0, nano=379200000), close=Quotation(units=0, nano=380100000), volume=194, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=379700000), high=Quotation(units=0, nano=380700000), low=Quotation(units=0, nano=379600000), close=Quotation(units=0, nano=380600000), volume=121, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=380200000), high=Quotation(units=0, nano=380300000), low=Quotation(units=0, nano=379900000), close=Quotation(units=0, nano=380000000), volume=109, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
