HistoricCandle(open=Quotation(units=0, nano=531600000), high=Quotation(units=0, nano=542800000), low=Quotation(units=0, nano=530000000), close=Quotation(units=0, nano=532800000), volume=415, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=533600000), high=Quotation(units=0, nano=548200000), low=Quotation(units=0, nano=530400000), close=Quotation(units=0, nano=534600000), volume=531, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=531800000), high=Quotation(units=0, nano=534400000), low=Quotation(units=0, nano=531800000), close=Quotation(units=0, nano=534400000), volume=86, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=533600000), high=Quotation(units=0, nano=535800000), low=Quotation(units=0, nano=531800000), close=Quotation(units=0, nano=535800000), volume=46, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=535400000), high=Quotation(units=0, nano=535400000), low=Quotation(units=0, nano=532600000), close=Quotation(units=0, nano=532600000), volume=18, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=534000000), high=Quotation(units=0, nano=535000000), low=Quotation(units=0, nano=530600000), close=Quotation(units=0, nano=533800000), volume=152, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=533600000), high=Quotation(units=0, nano=535600000), low=Quotation(units=0, nano=532800000), close=Quotation(units=0, nano=534200000), volume=156, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=533800000), high=Quotation(units=0, nano=533800000), low=Quotation(units=0, nano=530200000), close=Quotation(units=0, nano=530200000), volume=206, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=531200000), high=Quotation(units=0, nano=532000000), low=Quotation(units=0, nano=530200000), close=Quotation(units=0, nano=531200000), volume=32, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=530400000), high=Quotation(units=0, nano=530400000), low=Quotation(units=0, nano=525400000), close=Quotation(units=0, nano=525400000), volume=474, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=525600000), high=Quotation(units=0, nano=525800000), low=Quotation(units=0, nano=520600000), close=Quotation(units=0, nano=524600000), volume=161, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
