HistoricCandle(open=Quotation(units=1009, nano=0), high=Quotation(units=1009, nano=500000000), low=Quotation(units=1000, nano=500000000), close=Quotation(units=1008, nano=0), volume=2671, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1005, nano=500000000), high=Quotation(units=1012, nano=500000000), low=Quotation(units=1001, nano=0), close=Quotation(units=1009, nano=0), volume=3077, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1011, nano=0), high=Quotation(units=1012, nano=500000000), low=Quotation(units=1003, nano=0), close=Quotation(units=1004, nano=0), volume=4332, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1004, nano=0), high=Quotation(units=1004, nano=0), low=Quotation(units=1001, nano=0), close=Quotation(units=1002, nano=0), volume=2924, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1002, nano=0), high=Quotation(units=1002, nano=0), low=Quotation(units=1001, nano=0), close=Quotation(units=1001, nano=0), volume=1230, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1002, nano=0), high=Quotation(units=1002, nano=0), low=Quotation(units=1000, nano=500000000), close=Quotation(units=1001, nano=500000000), volume=408, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1001, nano=0), high=Quotation(units=1002, nano=0), low=Quotation(units=997, nano=500000000), close=Quotation(units=1000, nano=0), volume=2379, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1000, nano=0), high=Quotation(units=1000, nano=0), low=Quotation(units=997, nano=500000000), close=Quotation(units=999, nano=0), volume=418, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1000, nano=0), high=Quotation(units=1000, nano=500000000), low=Quotation(units=999, nano=0), close=Quotation(units=1000, nano=0), volume=897, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1000, nano=0), high=Quotation(units=1000, nano=0), low=Quotation(units=997, nano=0), close=Quotation(units=999, nano=500000000), volume=1078, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=997, nano=500000000), high=Quotation(units=999, nano=500000000), low=Quotation(units=997, nano=0), close=Quotation(units=999, nano=500000000), volume=329, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
