HistoricCandle(open=Quotation(units=17, nano=650000000), high=Quotation(units=17, nano=750000000), low=Quotation(units=17, nano=310000000), close=Quotation(units=17, nano=440000000), volume=9341, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=440000000), high=Quotation(units=17, nano=670000000), low=Quotation(units=17, nano=400000000), close=Quotation(units=17, nano=570000000), volume=1483, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=485000000), high=Quotation(units=17, nano=565000000), low=Quotation(units=17, nano=450000000), close=Quotation(units=17, nano=505000000), volume=1607, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=500000000), high=Quotation(units=17, nano=525000000), low=Quotation(units=17, nano=450000000), close=Quotation(units=17, nano=490000000), volume=3497, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=485000000), high=Quotation(units=17, nano=525000000), low=Quotation(units=17, nano=430000000), close=Quotation(units=17, nano=505000000), volume=515, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=505000000), high=Quotation(units=17, nano=520000000), low=Quotation(units=17, nano=400000000), close=Quotation(units=17, nano=430000000), volume=1663, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=480000000), high=Quotation(units=17, nano=505000000), low=Quotation(units=17, nano=450000000), close=Quotation(units=17, nano=465000000), volume=1142, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=500000000), high=Quotation(units=17, nano=550000000), low=Quotation(units=17, nano=480000000), close=Quotation(units=17, nano=500000000), volume=369, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=500000000), high=Quotation(units=17, nano=560000000), low=Quotation(units=17, nano=500000000), close=Quotation(units=17, nano=560000000), volume=306, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=560000000), high=Quotation(units=17, nano=560000000), low=Quotation(units=17, nano=520000000), close=Quotation(units=17, nano=540000000), volume=366, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=560000000), high=Quotation(units=17, nano=590000000), low=Quotation(units=17, nano=560000000), close=Quotation(units=17, nano=590000000), volume=160, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=560000000), high=Quotation(units=17, nano=695000000), low=Quotation(units=17, nano=560000000), close=Quotation(units=17, nano=695000000), volume=865, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=695000000), high=Quotation(units=17, nano=950000000), low=Quotation(units=17, nano=695000000), close=Quotation(units=17, nano=920000000), volume=9680, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=915000000), high=Quotation(units=18, nano=120000000), low=Quotation(units=17, nano=895000000), close=Quotation(units=18, nano=115000000), volume=3473, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=115000000), high=Quotation(units=18, nano=400000000), low=Quotation(units=17, nano=920000000), close=Quotation(units=18, nano=75000000), volume=8348, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=75000000), high=Quotation(units=18, nano=470000000), low=Quotation(units=18, nano=75000000), close=Quotation(units=18, nano=410000000), volume=3640, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=400000000), high=Quotation(units=18, nano=600000000), low=Quotation(units=18, nano=190000000), close=Quotation(units=18, nano=570000000), volume=9428, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=600000000), high=Quotation(units=18, nano=800000000), low=Quotation(units=18, nano=575000000), close=Quotation(units=18, nano=800000000), volume=8413, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=800000000), high=Quotation(units=19, nano=0), low=Quotation(units=18, nano=650000000), close=Quotation(units=18, nano=795000000), volume=6598, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=790000000), high=Quotation(units=18, nano=900000000), low=Quotation(units=18, nano=700000000), close=Quotation(units=18, nano=700000000), volume=6197, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=770000000), high=Quotation(units=18, nano=780000000), low=Quotation(units=18, nano=700000000), close=Quotation(units=18, nano=700000000), volume=3941, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=700000000), high=Quotation(units=18, nano=750000000), low=Quotation(units=18, nano=605000000), close=Quotation(units=18, nano=685000000), volume=6068, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=680000000), high=Quotation(units=18, nano=680000000), low=Quotation(units=18, nano=450000000), close=Quotation(units=18, nano=450000000), volume=8414, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=445000000), high=Quotation(units=18, nano=475000000), low=Quotation(units=18, nano=445000000), close=Quotation(units=18, nano=450000000), volume=736, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=475000000), high=Quotation(units=18, nano=490000000), low=Quotation(units=18, nano=455000000), close=Quotation(units=18, nano=460000000), volume=1535, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=460000000), high=Quotation(units=18, nano=500000000), low=Quotation(units=18, nano=460000000), close=Quotation(units=18, nano=490000000), volume=2182, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=490000000), high=Quotation(units=18, nano=600000000), low=Quotation(units=18, nano=490000000), close=Quotation(units=18, nano=600000000), volume=796, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=590000000), high=Quotation(units=18, nano=645000000), low=Quotation(units=18, nano=535000000), close=Quotation(units=18, nano=630000000), volume=1693, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=630000000), high=Quotation(units=18, nano=640000000), low=Quotation(units=18, nano=550000000), close=Quotation(units=18, nano=610000000), volume=1208, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=610000000), high=Quotation(units=18, nano=615000000), low=Quotation(units=18, nano=535000000), close=Quotation(units=18, nano=565000000), volume=1006, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=505000000), high=Quotation(units=18, nano=560000000), low=Quotation(units=18, nano=505000000), close=Quotation(units=18, nano=505000000), volume=1639, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=510000000), high=Quotation(units=18, nano=575000000), low=Quotation(units=18, nano=505000000), close=Quotation(units=18, nano=530000000), volume=1439, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=545000000), high=Quotation(units=18, nano=550000000), low=Quotation(units=18, nano=520000000), close=Quotation(units=18, nano=520000000), volume=310, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=520000000), high=Quotation(units=18, nano=520000000), low=Quotation(units=18, nano=495000000), close=Quotation(units=18, nano=495000000), volume=382, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=495000000), high=Quotation(units=18, nano=495000000), low=Quotation(units=18, nano=345000000), close=Quotation(units=18, nano=345000000), volume=12111, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=18, nano=190000000), high=Quotation(units=18, nano=285000000), low=Quotation(units=17, nano=735000000), close=Quotation(units=17, nano=955000000), volume=2063, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=915000000), high=Quotation(units=17, nano=955000000), low=Quotation(units=17, nano=700000000), close=Quotation(units=17, nano=915000000), volume=2251, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=900000000), high=Quotation(units=17, nano=900000000), low=Quotation(units=17, nano=665000000), close=Quotation(units=17, nano=665000000), volume=1093, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=785000000), high=Quotation(units=17, nano=785000000), low=Quotation(units=17, nano=700000000), close=Quotation(units=17, nano=700000000), volume=916, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=700000000), high=Quotation(units=17, nano=795000000), low=Quotation(units=17, nano=650000000), close=Quotation(units=17, nano=795000000), volume=972, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=740000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=715000000), close=Quotation(units=17, nano=850000000), volume=861, time=datetime.datetime(2023, 9, 4, 7, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=850000000), high=Quotation(units=17, nano=900000000), low=Quotation(units=17, nano=740000000), close=Quotation(units=17, nano=825000000), volume=978, time=datetime.datetime(2023, 9, 4, 7, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=840000000), high=Quotation(units=17, nano=840000000), low=Quotation(units=17, nano=650000000), close=Quotation(units=17, nano=650000000), volume=3476, time=datetime.datetime(2023, 9, 4, 7, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=650000000), high=Quotation(units=17, nano=655000000), low=Quotation(units=17, nano=650000000), close=Quotation(units=17, nano=655000000), volume=346, time=datetime.datetime(2023, 9, 4, 7, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=660000000), high=Quotation(units=17, nano=700000000), low=Quotation(units=17, nano=655000000), close=Quotation(units=17, nano=655000000), volume=681, time=datetime.datetime(2023, 9, 4, 7, 44, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=665000000), high=Quotation(units=17, nano=710000000), low=Quotation(units=17, nano=600000000), close=Quotation(units=17, nano=640000000), volume=254, time=datetime.datetime(2023, 9, 4, 7, 45, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=635000000), high=Quotation(units=17, nano=640000000), low=Quotation(units=17, nano=615000000), close=Quotation(units=17, nano=630000000), volume=424, time=datetime.datetime(2023, 9, 4, 7, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=605000000), high=Quotation(units=17, nano=625000000), low=Quotation(units=17, nano=600000000), close=Quotation(units=17, nano=625000000), volume=2107, time=datetime.datetime(2023, 9, 4, 7, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=625000000), high=Quotation(units=17, nano=640000000), low=Quotation(units=17, nano=625000000), close=Quotation(units=17, nano=640000000), volume=690, time=datetime.datetime(2023, 9, 4, 7, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=640000000), high=Quotation(units=17, nano=800000000), low=Quotation(units=17, nano=640000000), close=Quotation(units=17, nano=800000000), volume=582, time=datetime.datetime(2023, 9, 4, 7, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=850000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=300000000), close=Quotation(units=17, nano=660000000), volume=4867, time=datetime.datetime(2023, 9, 4, 7, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=660000000), high=Quotation(units=17, nano=660000000), low=Quotation(units=17, nano=460000000), close=Quotation(units=17, nano=600000000), volume=2221, time=datetime.datetime(2023, 9, 4, 7, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=615000000), high=Quotation(units=17, nano=620000000), low=Quotation(units=17, nano=580000000), close=Quotation(units=17, nano=600000000), volume=3048, time=datetime.datetime(2023, 9, 4, 7, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=580000000), high=Quotation(units=17, nano=600000000), low=Quotation(units=17, nano=580000000), close=Quotation(units=17, nano=595000000), volume=419, time=datetime.datetime(2023, 9, 4, 7, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=580000000), high=Quotation(units=17, nano=595000000), low=Quotation(units=17, nano=580000000), close=Quotation(units=17, nano=595000000), volume=46, time=datetime.datetime(2023, 9, 4, 7, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=585000000), high=Quotation(units=17, nano=585000000), low=Quotation(units=17, nano=550000000), close=Quotation(units=17, nano=550000000), volume=141, time=datetime.datetime(2023, 9, 4, 7, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=530000000), high=Quotation(units=17, nano=565000000), low=Quotation(units=17, nano=525000000), close=Quotation(units=17, nano=565000000), volume=134, time=datetime.datetime(2023, 9, 4, 7, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=585000000), high=Quotation(units=17, nano=640000000), low=Quotation(units=17, nano=570000000), close=Quotation(units=17, nano=625000000), volume=1574, time=datetime.datetime(2023, 9, 4, 7, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=630000000), high=Quotation(units=17, nano=780000000), low=Quotation(units=17, nano=620000000), close=Quotation(units=17, nano=780000000), volume=645, time=datetime.datetime(2023, 9, 4, 7, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=785000000), high=Quotation(units=17, nano=790000000), low=Quotation(units=17, nano=690000000), close=Quotation(units=17, nano=785000000), volume=180, time=datetime.datetime(2023, 9, 4, 7, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=795000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=795000000), close=Quotation(units=17, nano=850000000), volume=578, time=datetime.datetime(2023, 9, 4, 8, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=850000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=845000000), close=Quotation(units=17, nano=845000000), volume=39, time=datetime.datetime(2023, 9, 4, 8, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=845000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=800000000), close=Quotation(units=17, nano=830000000), volume=150, time=datetime.datetime(2023, 9, 4, 8, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=830000000), high=Quotation(units=17, nano=840000000), low=Quotation(units=17, nano=805000000), close=Quotation(units=17, nano=805000000), volume=90, time=datetime.datetime(2023, 9, 4, 8, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=840000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=840000000), close=Quotation(units=17, nano=850000000), volume=1518, time=datetime.datetime(2023, 9, 4, 8, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=815000000), high=Quotation(units=17, nano=820000000), low=Quotation(units=17, nano=800000000), close=Quotation(units=17, nano=800000000), volume=226, time=datetime.datetime(2023, 9, 4, 8, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=830000000), high=Quotation(units=17, nano=830000000), low=Quotation(units=17, nano=830000000), close=Quotation(units=17, nano=830000000), volume=15, time=datetime.datetime(2023, 9, 4, 8, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=805000000), high=Quotation(units=17, nano=805000000), low=Quotation(units=17, nano=805000000), close=Quotation(units=17, nano=805000000), volume=11, time=datetime.datetime(2023, 9, 4, 8, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=805000000), high=Quotation(units=17, nano=805000000), low=Quotation(units=17, nano=805000000), close=Quotation(units=17, nano=805000000), volume=40, time=datetime.datetime(2023, 9, 4, 8, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=805000000), high=Quotation(units=17, nano=850000000), low=Quotation(units=17, nano=805000000), close=Quotation(units=17, nano=850000000), volume=422, time=datetime.datetime(2023, 9, 4, 8, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=850000000), high=Quotation(units=17, nano=860000000), low=Quotation(units=17, nano=835000000), close=Quotation(units=17, nano=860000000), volume=65, time=datetime.datetime(2023, 9, 4, 8, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=840000000), high=Quotation(units=17, nano=855000000), low=Quotation(units=17, nano=830000000), close=Quotation(units=17, nano=855000000), volume=717, time=datetime.datetime(2023, 9, 4, 8, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=855000000), high=Quotation(units=17, nano=885000000), low=Quotation(units=17, nano=855000000), close=Quotation(units=17, nano=885000000), volume=306, time=datetime.datetime(2023, 9, 4, 8, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=17, nano=895000000), high=Quotation(units=17, nano=895000000), low=Quotation(units=17, nano=870000000), close=Quotation(units=17, nano=895000000), volume=228, time=datetime.datetime(2023, 9, 4, 8, 13, tzinfo=datetime.timezone.utc), is_complete=True)
