HistoricCandle(open=Quotation(units=740, nano=800000000), high=Quotation(units=740, nano=800000000), low=Quotation(units=740, nano=800000000), close=Quotation(units=740, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=740, nano=800000000), high=Quotation(units=740, nano=800000000), low=Quotation(units=740, nano=800000000), close=Quotation(units=740, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=741, nano=0), high=Quotation(units=741, nano=0), low=Quotation(units=741, nano=0), close=Quotation(units=741, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=734, nano=800000000), high=Quotation(units=734, nano=800000000), low=Quotation(units=734, nano=600000000), close=Quotation(units=734, nano=600000000), volume=31, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=740, nano=800000000), high=Quotation(units=740, nano=800000000), low=Quotation(units=740, nano=800000000), close=Quotation(units=740, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=740, nano=800000000), high=Quotation(units=740, nano=800000000), low=Quotation(units=740, nano=800000000), close=Quotation(units=740, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=734, nano=600000000), high=Quotation(units=740, nano=800000000), low=Quotation(units=734, nano=600000000), close=Quotation(units=740, nano=800000000), volume=29, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=741, nano=0), high=Quotation(units=741, nano=0), low=Quotation(units=741, nano=0), close=Quotation(units=741, nano=0), volume=32, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=735, nano=0), high=Quotation(units=741, nano=0), low=Quotation(units=735, nano=0), close=Quotation(units=741, nano=0), volume=5, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=735, nano=0), high=Quotation(units=735, nano=0), low=Quotation(units=735, nano=0), close=Quotation(units=735, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=741, nano=0), high=Quotation(units=741, nano=0), low=Quotation(units=741, nano=0), close=Quotation(units=741, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
