HistoricCandle(open=Quotation(units=9, nano=2000000), high=Quotation(units=9, nano=500000000), low=Quotation(units=9, nano=0), close=Quotation(units=9, nano=244000000), volume=992, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=300000000), high=Quotation(units=9, nano=502000000), low=Quotation(units=9, nano=244000000), close=Quotation(units=9, nano=502000000), volume=1169, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=502000000), high=Quotation(units=9, nano=688000000), low=Quotation(units=9, nano=352000000), close=Quotation(units=9, nano=680000000), volume=1818, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=590000000), high=Quotation(units=9, nano=704000000), low=Quotation(units=9, nano=350000000), close=Quotation(units=9, nano=590000000), volume=3097, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=588000000), high=Quotation(units=9, nano=590000000), low=Quotation(units=9, nano=324000000), close=Quotation(units=9, nano=444000000), volume=940, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=442000000), high=Quotation(units=9, nano=454000000), low=Quotation(units=9, nano=300000000), close=Quotation(units=9, nano=300000000), volume=1427, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=364000000), high=Quotation(units=9, nano=412000000), low=Quotation(units=9, nano=328000000), close=Quotation(units=9, nano=328000000), volume=389, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=328000000), high=Quotation(units=9, nano=328000000), low=Quotation(units=9, nano=210000000), close=Quotation(units=9, nano=252000000), volume=810, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=254000000), high=Quotation(units=9, nano=370000000), low=Quotation(units=9, nano=254000000), close=Quotation(units=9, nano=294000000), volume=669, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=296000000), high=Quotation(units=9, nano=380000000), low=Quotation(units=9, nano=252000000), close=Quotation(units=9, nano=374000000), volume=1212, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=308000000), high=Quotation(units=9, nano=450000000), low=Quotation(units=9, nano=214000000), close=Quotation(units=9, nano=242000000), volume=770, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=330000000), high=Quotation(units=9, nano=492000000), low=Quotation(units=9, nano=330000000), close=Quotation(units=9, nano=418000000), volume=589, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=9, nano=364000000), high=Quotation(units=9, nano=398000000), low=Quotation(units=9, nano=342000000), close=Quotation(units=9, nano=342000000), volume=279, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
