HistoricCandle(open=Quotation(units=94, nano=20000000), high=Quotation(units=94, nano=520000000), low=Quotation(units=94, nano=0), close=Quotation(units=94, nano=240000000), volume=8486, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=420000000), high=Quotation(units=94, nano=480000000), low=Quotation(units=94, nano=220000000), close=Quotation(units=94, nano=480000000), volume=3918, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=440000000), high=Quotation(units=94, nano=480000000), low=Quotation(units=94, nano=300000000), close=Quotation(units=94, nano=480000000), volume=6593, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=460000000), high=Quotation(units=94, nano=480000000), low=Quotation(units=94, nano=20000000), close=Quotation(units=94, nano=320000000), volume=7388, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=180000000), high=Quotation(units=94, nano=300000000), low=Quotation(units=94, nano=40000000), close=Quotation(units=94, nano=40000000), volume=2709, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=160000000), high=Quotation(units=94, nano=200000000), low=Quotation(units=94, nano=20000000), close=Quotation(units=94, nano=200000000), volume=2898, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=100000000), high=Quotation(units=94, nano=320000000), low=Quotation(units=94, nano=100000000), close=Quotation(units=94, nano=260000000), volume=3542, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=300000000), high=Quotation(units=94, nano=320000000), low=Quotation(units=94, nano=0), close=Quotation(units=94, nano=60000000), volume=18572, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=40000000), high=Quotation(units=94, nano=100000000), low=Quotation(units=94, nano=0), close=Quotation(units=94, nano=40000000), volume=1627, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=80000000), high=Quotation(units=94, nano=300000000), low=Quotation(units=94, nano=20000000), close=Quotation(units=94, nano=300000000), volume=2536, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=94, nano=160000000), high=Quotation(units=94, nano=440000000), low=Quotation(units=94, nano=120000000), close=Quotation(units=94, nano=340000000), volume=2185, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
