HistoricCandle(open=Quotation(units=86, nano=480000000), high=Quotation(units=86, nano=800000000), low=Quotation(units=86, nano=100000000), close=Quotation(units=86, nano=800000000), volume=2258, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=880000000), high=Quotation(units=87, nano=220000000), low=Quotation(units=86, nano=870000000), close=Quotation(units=86, nano=880000000), volume=4498, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=980000000), high=Quotation(units=87, nano=190000000), low=Quotation(units=86, nano=900000000), close=Quotation(units=86, nano=910000000), volume=2110, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=980000000), high=Quotation(units=86, nano=980000000), low=Quotation(units=86, nano=260000000), close=Quotation(units=86, nano=540000000), volume=2527, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=500000000), high=Quotation(units=87, nano=0), low=Quotation(units=86, nano=400000000), close=Quotation(units=87, nano=0), volume=3553, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=840000000), high=Quotation(units=86, nano=990000000), low=Quotation(units=86, nano=610000000), close=Quotation(units=86, nano=630000000), volume=3141, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=720000000), high=Quotation(units=87, nano=0), low=Quotation(units=86, nano=610000000), close=Quotation(units=86, nano=810000000), volume=2410, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=970000000), high=Quotation(units=86, nano=970000000), low=Quotation(units=86, nano=760000000), close=Quotation(units=86, nano=790000000), volume=506, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=920000000), high=Quotation(units=86, nano=940000000), low=Quotation(units=86, nano=700000000), close=Quotation(units=86, nano=860000000), volume=830, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=850000000), high=Quotation(units=86, nano=870000000), low=Quotation(units=86, nano=700000000), close=Quotation(units=86, nano=700000000), volume=1046, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=730000000), high=Quotation(units=86, nano=790000000), low=Quotation(units=86, nano=710000000), close=Quotation(units=86, nano=720000000), volume=664, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=720000000), high=Quotation(units=86, nano=800000000), low=Quotation(units=86, nano=700000000), close=Quotation(units=86, nano=790000000), volume=852, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=790000000), high=Quotation(units=86, nano=900000000), low=Quotation(units=86, nano=710000000), close=Quotation(units=86, nano=710000000), volume=1857, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=820000000), high=Quotation(units=86, nano=820000000), low=Quotation(units=86, nano=650000000), close=Quotation(units=86, nano=650000000), volume=1411, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=670000000), high=Quotation(units=86, nano=680000000), low=Quotation(units=86, nano=430000000), close=Quotation(units=86, nano=430000000), volume=1675, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=470000000), high=Quotation(units=86, nano=750000000), low=Quotation(units=86, nano=400000000), close=Quotation(units=86, nano=690000000), volume=3143, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=690000000), high=Quotation(units=86, nano=750000000), low=Quotation(units=86, nano=620000000), close=Quotation(units=86, nano=690000000), volume=1430, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=660000000), high=Quotation(units=86, nano=840000000), low=Quotation(units=86, nano=640000000), close=Quotation(units=86, nano=720000000), volume=1648, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=750000000), high=Quotation(units=86, nano=950000000), low=Quotation(units=86, nano=710000000), close=Quotation(units=86, nano=910000000), volume=1483, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=86, nano=900000000), high=Quotation(units=87, nano=180000000), low=Quotation(units=86, nano=810000000), close=Quotation(units=87, nano=20000000), volume=4213, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
