HistoricCandle(open=Quotation(units=113, nano=400000000), high=Quotation(units=113, nano=700000000), low=Quotation(units=113, nano=400000000), close=Quotation(units=113, nano=700000000), volume=218, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=600000000), high=Quotation(units=113, nano=800000000), low=Quotation(units=113, nano=300000000), close=Quotation(units=113, nano=600000000), volume=311, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=400000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=400000000), close=Quotation(units=113, nano=700000000), volume=462, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=200000000), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=0), volume=620, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=200000000), high=Quotation(units=114, nano=300000000), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=200000000), volume=518, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=200000000), high=Quotation(units=114, nano=200000000), low=Quotation(units=113, nano=200000000), close=Quotation(units=113, nano=600000000), volume=530, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=700000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=600000000), close=Quotation(units=113, nano=900000000), volume=149, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=800000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=700000000), volume=44, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=700000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=900000000), volume=26, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=100000000), low=Quotation(units=113, nano=500000000), close=Quotation(units=114, nano=100000000), volume=106, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=100000000), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=900000000), volume=108, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=700000000), high=Quotation(units=113, nano=700000000), low=Quotation(units=113, nano=400000000), close=Quotation(units=113, nano=700000000), volume=309, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=700000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=900000000), volume=80, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=700000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=700000000), volume=70, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=0), volume=143, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=0), volume=117, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=103, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=467, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=20, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=0), volume=66, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=36, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=113, nano=900000000), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=33, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=0), high=Quotation(units=114, nano=0), low=Quotation(units=113, nano=700000000), close=Quotation(units=113, nano=900000000), volume=143, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=500000000), low=Quotation(units=113, nano=800000000), close=Quotation(units=114, nano=500000000), volume=2511, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=500000000), high=Quotation(units=114, nano=500000000), low=Quotation(units=114, nano=200000000), close=Quotation(units=114, nano=400000000), volume=310, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=400000000), high=Quotation(units=114, nano=400000000), low=Quotation(units=113, nano=900000000), close=Quotation(units=113, nano=900000000), volume=202, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=100000000), high=Quotation(units=114, nano=100000000), low=Quotation(units=114, nano=0), close=Quotation(units=114, nano=0), volume=163, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=113, nano=900000000), high=Quotation(units=114, nano=500000000), low=Quotation(units=113, nano=900000000), close=Quotation(units=114, nano=400000000), volume=576, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=400000000), high=Quotation(units=114, nano=700000000), low=Quotation(units=114, nano=400000000), close=Quotation(units=114, nano=700000000), volume=835, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=700000000), high=Quotation(units=114, nano=800000000), low=Quotation(units=114, nano=500000000), close=Quotation(units=114, nano=800000000), volume=528, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=114, nano=900000000), high=Quotation(units=115, nano=0), low=Quotation(units=114, nano=700000000), close=Quotation(units=115, nano=0), volume=1306, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=115, nano=0), high=Quotation(units=115, nano=0), low=Quotation(units=114, nano=900000000), close=Quotation(units=114, nano=900000000), volume=78, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
