HistoricCandle(open=Quotation(units=34, nano=450000000), high=Quotation(units=34, nano=800000000), low=Quotation(units=34, nano=450000000), close=Quotation(units=34, nano=750000000), volume=3349, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=750000000), high=Quotation(units=34, nano=900000000), low=Quotation(units=34, nano=700000000), close=Quotation(units=34, nano=900000000), volume=4267, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=900000000), high=Quotation(units=35, nano=160000000), low=Quotation(units=34, nano=890000000), close=Quotation(units=35, nano=40000000), volume=9326, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=970000000), high=Quotation(units=35, nano=710000000), low=Quotation(units=34, nano=970000000), close=Quotation(units=35, nano=640000000), volume=24697, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=640000000), high=Quotation(units=35, nano=640000000), low=Quotation(units=35, nano=150000000), close=Quotation(units=35, nano=340000000), volume=11464, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=260000000), high=Quotation(units=35, nano=340000000), low=Quotation(units=34, nano=540000000), close=Quotation(units=34, nano=950000000), volume=14913, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=950000000), high=Quotation(units=35, nano=60000000), low=Quotation(units=34, nano=840000000), close=Quotation(units=35, nano=0), volume=4694, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=10000000), high=Quotation(units=35, nano=370000000), low=Quotation(units=34, nano=900000000), close=Quotation(units=35, nano=200000000), volume=12322, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=170000000), high=Quotation(units=35, nano=500000000), low=Quotation(units=35, nano=130000000), close=Quotation(units=35, nano=300000000), volume=25575, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=390000000), high=Quotation(units=35, nano=390000000), low=Quotation(units=34, nano=50000000), close=Quotation(units=34, nano=900000000), volume=25171, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=20000000), high=Quotation(units=35, nano=320000000), low=Quotation(units=33, nano=800000000), close=Quotation(units=34, nano=350000000), volume=30307, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=350000000), high=Quotation(units=34, nano=500000000), low=Quotation(units=34, nano=0), close=Quotation(units=34, nano=340000000), volume=17431, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=320000000), high=Quotation(units=34, nano=390000000), low=Quotation(units=34, nano=320000000), close=Quotation(units=34, nano=390000000), volume=1185, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=390000000), high=Quotation(units=34, nano=510000000), low=Quotation(units=34, nano=250000000), close=Quotation(units=34, nano=320000000), volume=10871, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=400000000), high=Quotation(units=34, nano=690000000), low=Quotation(units=34, nano=250000000), close=Quotation(units=34, nano=660000000), volume=11294, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=660000000), high=Quotation(units=34, nano=720000000), low=Quotation(units=34, nano=580000000), close=Quotation(units=34, nano=710000000), volume=2866, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=710000000), high=Quotation(units=34, nano=720000000), low=Quotation(units=34, nano=660000000), close=Quotation(units=34, nano=710000000), volume=716, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=720000000), high=Quotation(units=34, nano=720000000), low=Quotation(units=34, nano=400000000), close=Quotation(units=34, nano=570000000), volume=4252, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=540000000), high=Quotation(units=34, nano=570000000), low=Quotation(units=34, nano=430000000), close=Quotation(units=34, nano=430000000), volume=922, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=460000000), high=Quotation(units=34, nano=510000000), low=Quotation(units=34, nano=300000000), close=Quotation(units=34, nano=430000000), volume=3219, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=430000000), high=Quotation(units=34, nano=620000000), low=Quotation(units=34, nano=350000000), close=Quotation(units=34, nano=600000000), volume=2937, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=600000000), high=Quotation(units=34, nano=620000000), low=Quotation(units=34, nano=600000000), close=Quotation(units=34, nano=610000000), volume=1228, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=610000000), high=Quotation(units=34, nano=610000000), low=Quotation(units=34, nano=610000000), close=Quotation(units=34, nano=610000000), volume=525, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=610000000), high=Quotation(units=34, nano=800000000), low=Quotation(units=34, nano=600000000), close=Quotation(units=34, nano=670000000), volume=4261, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=700000000), high=Quotation(units=35, nano=830000000), low=Quotation(units=34, nano=650000000), close=Quotation(units=35, nano=750000000), volume=82943, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=740000000), high=Quotation(units=35, nano=880000000), low=Quotation(units=35, nano=400000000), close=Quotation(units=35, nano=540000000), volume=34195, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=520000000), high=Quotation(units=35, nano=540000000), low=Quotation(units=35, nano=250000000), close=Quotation(units=35, nano=500000000), volume=7950, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=520000000), high=Quotation(units=35, nano=530000000), low=Quotation(units=35, nano=120000000), close=Quotation(units=35, nano=330000000), volume=7010, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=210000000), high=Quotation(units=35, nano=280000000), low=Quotation(units=35, nano=60000000), close=Quotation(units=35, nano=180000000), volume=5603, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=180000000), high=Quotation(units=35, nano=180000000), low=Quotation(units=34, nano=960000000), close=Quotation(units=35, nano=30000000), volume=7616, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=30000000), high=Quotation(units=35, nano=340000000), low=Quotation(units=35, nano=0), close=Quotation(units=35, nano=300000000), volume=5463, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=300000000), high=Quotation(units=35, nano=380000000), low=Quotation(units=35, nano=100000000), close=Quotation(units=35, nano=160000000), volume=6258, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=240000000), high=Quotation(units=35, nano=240000000), low=Quotation(units=35, nano=150000000), close=Quotation(units=35, nano=150000000), volume=2855, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=150000000), high=Quotation(units=35, nano=250000000), low=Quotation(units=34, nano=900000000), close=Quotation(units=34, nano=980000000), volume=6486, time=datetime.datetime(2023, 9, 4, 7, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=910000000), high=Quotation(units=35, nano=0), low=Quotation(units=34, nano=900000000), close=Quotation(units=34, nano=970000000), volume=1558, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=970000000), high=Quotation(units=35, nano=60000000), low=Quotation(units=34, nano=940000000), close=Quotation(units=35, nano=60000000), volume=1022, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=0), high=Quotation(units=35, nano=0), low=Quotation(units=34, nano=930000000), close=Quotation(units=34, nano=970000000), volume=309, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=970000000), high=Quotation(units=35, nano=110000000), low=Quotation(units=34, nano=910000000), close=Quotation(units=34, nano=910000000), volume=1042, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=990000000), high=Quotation(units=35, nano=20000000), low=Quotation(units=34, nano=910000000), close=Quotation(units=35, nano=0), volume=1305, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=980000000), high=Quotation(units=34, nano=990000000), low=Quotation(units=34, nano=920000000), close=Quotation(units=34, nano=920000000), volume=430, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=940000000), high=Quotation(units=35, nano=80000000), low=Quotation(units=34, nano=930000000), close=Quotation(units=35, nano=40000000), volume=1177, time=datetime.datetime(2023, 9, 4, 7, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=990000000), high=Quotation(units=35, nano=70000000), low=Quotation(units=34, nano=970000000), close=Quotation(units=35, nano=30000000), volume=1997, time=datetime.datetime(2023, 9, 4, 7, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=30000000), high=Quotation(units=35, nano=140000000), low=Quotation(units=35, nano=30000000), close=Quotation(units=35, nano=90000000), volume=1738, time=datetime.datetime(2023, 9, 4, 7, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=90000000), high=Quotation(units=35, nano=120000000), low=Quotation(units=35, nano=30000000), close=Quotation(units=35, nano=70000000), volume=324, time=datetime.datetime(2023, 9, 4, 7, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=20000000), high=Quotation(units=35, nano=50000000), low=Quotation(units=34, nano=970000000), close=Quotation(units=35, nano=0), volume=396, time=datetime.datetime(2023, 9, 4, 7, 44, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=0), high=Quotation(units=35, nano=0), low=Quotation(units=34, nano=940000000), close=Quotation(units=34, nano=990000000), volume=987, time=datetime.datetime(2023, 9, 4, 7, 45, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=990000000), high=Quotation(units=35, nano=0), low=Quotation(units=34, nano=940000000), close=Quotation(units=34, nano=970000000), volume=421, time=datetime.datetime(2023, 9, 4, 7, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=950000000), high=Quotation(units=34, nano=990000000), low=Quotation(units=34, nano=900000000), close=Quotation(units=34, nano=990000000), volume=1266, time=datetime.datetime(2023, 9, 4, 7, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=34, nano=990000000), high=Quotation(units=35, nano=290000000), low=Quotation(units=34, nano=950000000), close=Quotation(units=35, nano=90000000), volume=5410, time=datetime.datetime(2023, 9, 4, 7, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=60000000), high=Quotation(units=35, nano=280000000), low=Quotation(units=35, nano=60000000), close=Quotation(units=35, nano=260000000), volume=2924, time=datetime.datetime(2023, 9, 4, 7, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=170000000), high=Quotation(units=35, nano=300000000), low=Quotation(units=35, nano=160000000), close=Quotation(units=35, nano=300000000), volume=1761, time=datetime.datetime(2023, 9, 4, 7, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=280000000), high=Quotation(units=35, nano=300000000), low=Quotation(units=35, nano=160000000), close=Quotation(units=35, nano=180000000), volume=1838, time=datetime.datetime(2023, 9, 4, 7, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=35, nano=250000000), high=Quotation(units=35, nano=300000000), low=Quotation(units=35, nano=190000000), close=Quotation(units=35, nano=300000000), volume=610, time=datetime.datetime(2023, 9, 4, 7, 52, tzinfo=datetime.timezone.utc), is_complete=True)
