HistoricCandle(open=Quotation(units=14620, nano=0), high=Quotation(units=14620, nano=0), low=Quotation(units=14620, nano=0), close=Quotation(units=14620, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14760, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14760, nano=0), volume=14, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14760, nano=0), high=Quotation(units=14760, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=17, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14660, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14700, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14760, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14760, nano=0), volume=15, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14760, nano=0), high=Quotation(units=14820, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=40, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14780, nano=0), high=Quotation(units=14800, nano=0), low=Quotation(units=14780, nano=0), close=Quotation(units=14780, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14760, nano=0), high=Quotation(units=14760, nano=0), low=Quotation(units=14620, nano=0), close=Quotation(units=14660, nano=0), volume=67, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14720, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14700, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14700, nano=0), volume=19, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14700, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14720, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14700, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14700, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14700, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14700, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14680, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14680, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14660, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14660, nano=0), high=Quotation(units=14660, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14660, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14660, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14680, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14640, nano=0), close=Quotation(units=14640, nano=0), volume=8, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14680, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14640, nano=0), high=Quotation(units=14660, nano=0), low=Quotation(units=14640, nano=0), close=Quotation(units=14660, nano=0), volume=28, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14660, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14680, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14660, nano=0), high=Quotation(units=14680, nano=0), low=Quotation(units=14660, nano=0), close=Quotation(units=14680, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14680, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14680, nano=0), close=Quotation(units=14700, nano=0), volume=22, time=datetime.datetime(2023, 9, 4, 7, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14740, nano=0), volume=14, time=datetime.datetime(2023, 9, 4, 7, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=9, time=datetime.datetime(2023, 9, 4, 7, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14740, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14740, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 45, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=8, time=datetime.datetime(2023, 9, 4, 7, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14740, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14740, nano=0), high=Quotation(units=14740, nano=0), low=Quotation(units=14740, nano=0), close=Quotation(units=14740, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14700, nano=0), high=Quotation(units=14700, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14720, nano=0), close=Quotation(units=14720, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 8, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=14720, nano=0), high=Quotation(units=14720, nano=0), low=Quotation(units=14700, nano=0), close=Quotation(units=14700, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 8, 5, tzinfo=datetime.timezone.utc), is_complete=True)
