HistoricCandle(open=Quotation(units=11340, nano=0), high=Quotation(units=11440, nano=0), low=Quotation(units=11300, nano=0), close=Quotation(units=11400, nano=0), volume=35, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11410, nano=0), high=Quotation(units=11420, nano=0), low=Quotation(units=11380, nano=0), close=Quotation(units=11420, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11380, nano=0), high=Quotation(units=11390, nano=0), low=Quotation(units=11330, nano=0), close=Quotation(units=11330, nano=0), volume=26, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11370, nano=0), high=Quotation(units=11380, nano=0), low=Quotation(units=11370, nano=0), close=Quotation(units=11380, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11370, nano=0), high=Quotation(units=11370, nano=0), low=Quotation(units=11370, nano=0), close=Quotation(units=11370, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11370, nano=0), high=Quotation(units=11400, nano=0), low=Quotation(units=11370, nano=0), close=Quotation(units=11400, nano=0), volume=37, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11400, nano=0), high=Quotation(units=11430, nano=0), low=Quotation(units=11400, nano=0), close=Quotation(units=11430, nano=0), volume=22, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11390, nano=0), high=Quotation(units=11410, nano=0), low=Quotation(units=11380, nano=0), close=Quotation(units=11410, nano=0), volume=5, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11410, nano=0), high=Quotation(units=11420, nano=0), low=Quotation(units=11410, nano=0), close=Quotation(units=11420, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11420, nano=0), high=Quotation(units=11420, nano=0), low=Quotation(units=11410, nano=0), close=Quotation(units=11410, nano=0), volume=26, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11400, nano=0), high=Quotation(units=11430, nano=0), low=Quotation(units=11400, nano=0), close=Quotation(units=11430, nano=0), volume=20, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11420, nano=0), high=Quotation(units=11420, nano=0), low=Quotation(units=11330, nano=0), close=Quotation(units=11330, nano=0), volume=52, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11330, nano=0), high=Quotation(units=11330, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11320, nano=0), high=Quotation(units=11320, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=10, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11320, nano=0), high=Quotation(units=11320, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11320, nano=0), high=Quotation(units=11320, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11350, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11350, nano=0), close=Quotation(units=11350, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11350, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11350, nano=0), close=Quotation(units=11350, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11360, nano=0), high=Quotation(units=11380, nano=0), low=Quotation(units=11360, nano=0), close=Quotation(units=11380, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11350, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11350, nano=0), close=Quotation(units=11350, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11350, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11340, nano=0), close=Quotation(units=11340, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11330, nano=0), high=Quotation(units=11330, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11350, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11310, nano=0), close=Quotation(units=11310, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11340, nano=0), high=Quotation(units=11340, nano=0), low=Quotation(units=11310, nano=0), close=Quotation(units=11310, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11340, nano=0), high=Quotation(units=11340, nano=0), low=Quotation(units=11340, nano=0), close=Quotation(units=11340, nano=0), volume=1, time=datetime.datetime(2023, 9, 4, 7, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11340, nano=0), high=Quotation(units=11350, nano=0), low=Quotation(units=11320, nano=0), close=Quotation(units=11320, nano=0), volume=18, time=datetime.datetime(2023, 9, 4, 7, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11320, nano=0), high=Quotation(units=11330, nano=0), low=Quotation(units=11300, nano=0), close=Quotation(units=11330, nano=0), volume=39, time=datetime.datetime(2023, 9, 4, 7, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11330, nano=0), high=Quotation(units=11340, nano=0), low=Quotation(units=11330, nano=0), close=Quotation(units=11340, nano=0), volume=2, time=datetime.datetime(2023, 9, 4, 7, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11330, nano=0), high=Quotation(units=11330, nano=0), low=Quotation(units=11290, nano=0), close=Quotation(units=11290, nano=0), volume=12, time=datetime.datetime(2023, 9, 4, 7, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=11320, nano=0), high=Quotation(units=11320, nano=0), low=Quotation(units=11270, nano=0), close=Quotation(units=11290, nano=0), volume=46, time=datetime.datetime(2023, 9, 4, 7, 32, tzinfo=datetime.timezone.utc), is_complete=True)
