HistoricCandle(open=Quotation(units=538, nano=800000000), high=Quotation(units=541, nano=400000000), low=Quotation(units=538, nano=200000000), close=Quotation(units=539, nano=0), volume=2187, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=538, nano=200000000), high=Quotation(units=539, nano=0), low=Quotation(units=535, nano=0), close=Quotation(units=536, nano=0), volume=4546, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=536, nano=0), high=Quotation(units=538, nano=0), low=Quotation(units=535, nano=0), close=Quotation(units=536, nano=800000000), volume=2421, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=536, nano=800000000), high=Quotation(units=540, nano=0), low=Quotation(units=536, nano=800000000), close=Quotation(units=540, nano=0), volume=2085, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=539, nano=800000000), high=Quotation(units=541, nano=0), low=Quotation(units=536, nano=400000000), close=Quotation(units=540, nano=600000000), volume=1472, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=540, nano=400000000), high=Quotation(units=545, nano=0), low=Quotation(units=539, nano=800000000), close=Quotation(units=544, nano=0), volume=2722, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=544, nano=0), high=Quotation(units=544, nano=800000000), low=Quotation(units=540, nano=600000000), close=Quotation(units=542, nano=200000000), volume=2854, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=542, nano=200000000), high=Quotation(units=543, nano=600000000), low=Quotation(units=541, nano=200000000), close=Quotation(units=541, nano=800000000), volume=859, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=541, nano=800000000), high=Quotation(units=542, nano=0), low=Quotation(units=540, nano=0), close=Quotation(units=542, nano=0), volume=4477, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=542, nano=0), high=Quotation(units=542, nano=0), low=Quotation(units=536, nano=200000000), close=Quotation(units=540, nano=200000000), volume=2702, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=539, nano=800000000), high=Quotation(units=542, nano=0), low=Quotation(units=535, nano=200000000), close=Quotation(units=539, nano=200000000), volume=2578, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
