HistoricCandle(open=Quotation(units=170, nano=700000000), high=Quotation(units=170, nano=700000000), low=Quotation(units=170, nano=700000000), close=Quotation(units=170, nano=700000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=90000000), high=Quotation(units=172, nano=100000000), low=Quotation(units=170, nano=710000000), close=Quotation(units=170, nano=710000000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=170, nano=700000000), high=Quotation(units=170, nano=700000000), low=Quotation(units=170, nano=700000000), close=Quotation(units=170, nano=700000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=90000000), high=Quotation(units=172, nano=90000000), low=Quotation(units=172, nano=90000000), close=Quotation(units=172, nano=90000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=90000000), high=Quotation(units=172, nano=90000000), low=Quotation(units=172, nano=90000000), close=Quotation(units=172, nano=90000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=170, nano=720000000), high=Quotation(units=170, nano=720000000), low=Quotation(units=170, nano=720000000), close=Quotation(units=170, nano=720000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=100000000), high=Quotation(units=172, nano=110000000), low=Quotation(units=172, nano=100000000), close=Quotation(units=172, nano=110000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=170, nano=720000000), high=Quotation(units=170, nano=720000000), low=Quotation(units=170, nano=720000000), close=Quotation(units=170, nano=720000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=110000000), high=Quotation(units=172, nano=110000000), low=Quotation(units=172, nano=110000000), close=Quotation(units=172, nano=110000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=120000000), high=Quotation(units=172, nano=120000000), low=Quotation(units=172, nano=120000000), close=Quotation(units=172, nano=120000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=172, nano=120000000), high=Quotation(units=172, nano=210000000), low=Quotation(units=172, nano=120000000), close=Quotation(units=172, nano=210000000), volume=58, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
