HistoricCandle(open=Quotation(units=177, nano=700000000), high=Quotation(units=179, nano=140000000), low=Quotation(units=177, nano=700000000), close=Quotation(units=177, nano=710000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=700000000), high=Quotation(units=179, nano=160000000), low=Quotation(units=177, nano=700000000), close=Quotation(units=179, nano=160000000), volume=17, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=170000000), high=Quotation(units=179, nano=210000000), low=Quotation(units=177, nano=770000000), close=Quotation(units=179, nano=210000000), volume=31, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=770000000), high=Quotation(units=179, nano=230000000), low=Quotation(units=177, nano=770000000), close=Quotation(units=179, nano=230000000), volume=22, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=800000000), high=Quotation(units=179, nano=240000000), low=Quotation(units=177, nano=780000000), close=Quotation(units=179, nano=220000000), volume=25, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=780000000), high=Quotation(units=179, nano=220000000), low=Quotation(units=177, nano=780000000), close=Quotation(units=179, nano=210000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=770000000), high=Quotation(units=179, nano=320000000), low=Quotation(units=177, nano=770000000), close=Quotation(units=179, nano=320000000), volume=77, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=340000000), high=Quotation(units=179, nano=340000000), low=Quotation(units=177, nano=810000000), close=Quotation(units=179, nano=250000000), volume=65, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=260000000), high=Quotation(units=179, nano=260000000), low=Quotation(units=177, nano=820000000), close=Quotation(units=179, nano=260000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=820000000), high=Quotation(units=179, nano=260000000), low=Quotation(units=177, nano=820000000), close=Quotation(units=179, nano=260000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=177, nano=810000000), high=Quotation(units=179, nano=250000000), low=Quotation(units=177, nano=800000000), close=Quotation(units=179, nano=240000000), volume=17, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
