HistoricCandle(open=Quotation(units=0, nano=28880000), high=Quotation(units=0, nano=28885000), low=Quotation(units=0, nano=28645000), close=Quotation(units=0, nano=28885000), volume=66, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28885000), high=Quotation(units=0, nano=28885000), low=Quotation(units=0, nano=28650000), close=Quotation(units=0, nano=28650000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28650000), high=Quotation(units=0, nano=28885000), low=Quotation(units=0, nano=28650000), close=Quotation(units=0, nano=28885000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28885000), high=Quotation(units=0, nano=28885000), low=Quotation(units=0, nano=28650000), close=Quotation(units=0, nano=28650000), volume=32, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28885000), high=Quotation(units=0, nano=28885000), low=Quotation(units=0, nano=28650000), close=Quotation(units=0, nano=28650000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28885000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28885000), close=Quotation(units=0, nano=28895000), volume=103, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28660000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28660000), close=Quotation(units=0, nano=28895000), volume=33, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28660000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28660000), close=Quotation(units=0, nano=28895000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28895000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28660000), close=Quotation(units=0, nano=28660000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28895000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28895000), close=Quotation(units=0, nano=28895000), volume=17, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=28895000), high=Quotation(units=0, nano=28895000), low=Quotation(units=0, nano=28895000), close=Quotation(units=0, nano=28895000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
