HistoricCandle(open=Quotation(units=561, nano=350000000), high=Quotation(units=561, nano=350000000), low=Quotation(units=556, nano=750000000), close=Quotation(units=556, nano=750000000), volume=58, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=556, nano=700000000), high=Quotation(units=561, nano=200000000), low=Quotation(units=556, nano=700000000), close=Quotation(units=561, nano=200000000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=561, nano=250000000), high=Quotation(units=561, nano=250000000), low=Quotation(units=556, nano=700000000), close=Quotation(units=561, nano=250000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=561, nano=250000000), high=Quotation(units=561, nano=250000000), low=Quotation(units=556, nano=700000000), close=Quotation(units=561, nano=250000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=561, nano=250000000), high=Quotation(units=561, nano=350000000), low=Quotation(units=561, nano=250000000), close=Quotation(units=561, nano=350000000), volume=35, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=556, nano=850000000), high=Quotation(units=561, nano=350000000), low=Quotation(units=556, nano=850000000), close=Quotation(units=561, nano=350000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=556, nano=850000000), high=Quotation(units=561, nano=350000000), low=Quotation(units=556, nano=800000000), close=Quotation(units=561, nano=250000000), volume=48, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=561, nano=300000000), high=Quotation(units=561, nano=300000000), low=Quotation(units=556, nano=750000000), close=Quotation(units=561, nano=300000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=561, nano=300000000), high=Quotation(units=561, nano=300000000), low=Quotation(units=555, nano=900000000), close=Quotation(units=559, nano=550000000), volume=551, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=559, nano=550000000), high=Quotation(units=559, nano=550000000), low=Quotation(units=554, nano=150000000), close=Quotation(units=557, nano=900000000), volume=519, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=553, nano=400000000), high=Quotation(units=557, nano=900000000), low=Quotation(units=553, nano=400000000), close=Quotation(units=553, nano=450000000), volume=28, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
