HistoricCandle(open=Quotation(units=263, nano=420000000), high=Quotation(units=265, nano=560000000), low=Quotation(units=263, nano=420000000), close=Quotation(units=265, nano=560000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=420000000), high=Quotation(units=263, nano=420000000), low=Quotation(units=263, nano=420000000), close=Quotation(units=263, nano=420000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=560000000), high=Quotation(units=265, nano=560000000), low=Quotation(units=265, nano=560000000), close=Quotation(units=265, nano=560000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=210000000), high=Quotation(units=263, nano=210000000), low=Quotation(units=263, nano=210000000), close=Quotation(units=263, nano=210000000), volume=65, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=110000000), high=Quotation(units=265, nano=110000000), low=Quotation(units=265, nano=110000000), close=Quotation(units=265, nano=110000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=980000000), high=Quotation(units=265, nano=110000000), low=Quotation(units=262, nano=980000000), close=Quotation(units=265, nano=110000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=110000000), high=Quotation(units=265, nano=110000000), low=Quotation(units=262, nano=930000000), close=Quotation(units=262, nano=930000000), volume=16, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=10000000), high=Quotation(units=265, nano=10000000), low=Quotation(units=265, nano=10000000), close=Quotation(units=265, nano=10000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=860000000), high=Quotation(units=262, nano=860000000), low=Quotation(units=262, nano=820000000), close=Quotation(units=262, nano=820000000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=930000000), high=Quotation(units=264, nano=930000000), low=Quotation(units=264, nano=930000000), close=Quotation(units=264, nano=930000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=940000000), high=Quotation(units=264, nano=940000000), low=Quotation(units=264, nano=940000000), close=Quotation(units=264, nano=940000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=990000000), high=Quotation(units=264, nano=990000000), low=Quotation(units=264, nano=990000000), close=Quotation(units=264, nano=990000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=890000000), high=Quotation(units=262, nano=890000000), low=Quotation(units=262, nano=890000000), close=Quotation(units=262, nano=890000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=880000000), high=Quotation(units=262, nano=880000000), low=Quotation(units=262, nano=880000000), close=Quotation(units=262, nano=880000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=10000000), high=Quotation(units=265, nano=10000000), low=Quotation(units=265, nano=10000000), close=Quotation(units=265, nano=10000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=20000000), high=Quotation(units=265, nano=20000000), low=Quotation(units=262, nano=900000000), close=Quotation(units=262, nano=900000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=30000000), high=Quotation(units=265, nano=30000000), low=Quotation(units=265, nano=30000000), close=Quotation(units=265, nano=30000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=40000000), high=Quotation(units=265, nano=40000000), low=Quotation(units=265, nano=40000000), close=Quotation(units=265, nano=40000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=900000000), high=Quotation(units=262, nano=900000000), low=Quotation(units=262, nano=900000000), close=Quotation(units=262, nano=900000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=890000000), high=Quotation(units=262, nano=890000000), low=Quotation(units=262, nano=890000000), close=Quotation(units=262, nano=890000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=40000000), high=Quotation(units=265, nano=40000000), low=Quotation(units=265, nano=40000000), close=Quotation(units=265, nano=40000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=50000000), high=Quotation(units=265, nano=50000000), low=Quotation(units=265, nano=50000000), close=Quotation(units=265, nano=50000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=60000000), high=Quotation(units=265, nano=60000000), low=Quotation(units=262, nano=930000000), close=Quotation(units=262, nano=930000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=920000000), high=Quotation(units=262, nano=920000000), low=Quotation(units=262, nano=920000000), close=Quotation(units=262, nano=920000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=50000000), high=Quotation(units=265, nano=50000000), low=Quotation(units=262, nano=910000000), close=Quotation(units=262, nano=910000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=900000000), high=Quotation(units=262, nano=900000000), low=Quotation(units=262, nano=900000000), close=Quotation(units=262, nano=900000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=880000000), high=Quotation(units=262, nano=880000000), low=Quotation(units=262, nano=880000000), close=Quotation(units=262, nano=880000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=20000000), high=Quotation(units=265, nano=20000000), low=Quotation(units=262, nano=870000000), close=Quotation(units=262, nano=870000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=840000000), high=Quotation(units=262, nano=840000000), low=Quotation(units=262, nano=840000000), close=Quotation(units=262, nano=840000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=990000000), high=Quotation(units=265, nano=20000000), low=Quotation(units=264, nano=990000000), close=Quotation(units=265, nano=20000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=20000000), high=Quotation(units=265, nano=40000000), low=Quotation(units=262, nano=900000000), close=Quotation(units=265, nano=40000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=60000000), high=Quotation(units=265, nano=60000000), low=Quotation(units=265, nano=60000000), close=Quotation(units=265, nano=60000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=70000000), high=Quotation(units=265, nano=70000000), low=Quotation(units=265, nano=70000000), close=Quotation(units=265, nano=70000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=80000000), high=Quotation(units=265, nano=80000000), low=Quotation(units=265, nano=80000000), close=Quotation(units=265, nano=80000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=140000000), high=Quotation(units=265, nano=140000000), low=Quotation(units=265, nano=140000000), close=Quotation(units=265, nano=140000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=190000000), high=Quotation(units=265, nano=190000000), low=Quotation(units=265, nano=190000000), close=Quotation(units=265, nano=190000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=200000000), high=Quotation(units=265, nano=210000000), low=Quotation(units=265, nano=200000000), close=Quotation(units=265, nano=210000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=80000000), high=Quotation(units=263, nano=80000000), low=Quotation(units=263, nano=80000000), close=Quotation(units=263, nano=80000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=210000000), high=Quotation(units=265, nano=210000000), low=Quotation(units=265, nano=210000000), close=Quotation(units=265, nano=210000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=80000000), high=Quotation(units=263, nano=80000000), low=Quotation(units=263, nano=80000000), close=Quotation(units=263, nano=80000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=40000000), high=Quotation(units=263, nano=40000000), low=Quotation(units=263, nano=40000000), close=Quotation(units=263, nano=40000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=980000000), high=Quotation(units=262, nano=980000000), low=Quotation(units=262, nano=980000000), close=Quotation(units=262, nano=980000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=110000000), high=Quotation(units=265, nano=110000000), low=Quotation(units=265, nano=110000000), close=Quotation(units=265, nano=110000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=120000000), high=Quotation(units=265, nano=130000000), low=Quotation(units=265, nano=120000000), close=Quotation(units=265, nano=130000000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=263, nano=0), high=Quotation(units=265, nano=10000000), low=Quotation(units=262, nano=900000000), close=Quotation(units=265, nano=10000000), volume=47, time=datetime.datetime(2023, 9, 2, 13, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=950000000), high=Quotation(units=262, nano=950000000), low=Quotation(units=262, nano=950000000), close=Quotation(units=262, nano=950000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=265, nano=100000000), high=Quotation(units=265, nano=100000000), low=Quotation(units=262, nano=970000000), close=Quotation(units=262, nano=970000000), volume=12, time=datetime.datetime(2023, 9, 2, 13, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=940000000), high=Quotation(units=264, nano=940000000), low=Quotation(units=262, nano=870000000), close=Quotation(units=264, nano=940000000), volume=20, time=datetime.datetime(2023, 9, 2, 13, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=262, nano=810000000), high=Quotation(units=262, nano=810000000), low=Quotation(units=262, nano=810000000), close=Quotation(units=262, nano=810000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=930000000), high=Quotation(units=264, nano=930000000), low=Quotation(units=264, nano=930000000), close=Quotation(units=264, nano=930000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=264, nano=940000000), high=Quotation(units=264, nano=940000000), low=Quotation(units=262, nano=780000000), close=Quotation(units=262, nano=780000000), volume=10, time=datetime.datetime(2023, 9, 2, 13, 15, tzinfo=datetime.timezone.utc), is_complete=True)
