HistoricCandle(open=Quotation(units=0, nano=132620000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=132620000), close=Quotation(units=0, nano=132620000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131540000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=131540000), close=Quotation(units=0, nano=132620000), volume=6, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=132620000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=131540000), close=Quotation(units=0, nano=131540000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=132620000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=132620000), close=Quotation(units=0, nano=132620000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131540000), high=Quotation(units=0, nano=131540000), low=Quotation(units=0, nano=131540000), close=Quotation(units=0, nano=131540000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=132620000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=131540000), close=Quotation(units=0, nano=131540000), volume=22, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=132620000), high=Quotation(units=0, nano=132620000), low=Quotation(units=0, nano=132620000), close=Quotation(units=0, nano=132620000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131520000), high=Quotation(units=0, nano=131520000), low=Quotation(units=0, nano=131520000), close=Quotation(units=0, nano=131520000), volume=20, time=datetime.datetime(2023, 9, 2, 12, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131500000), high=Quotation(units=0, nano=132580000), low=Quotation(units=0, nano=131500000), close=Quotation(units=0, nano=132580000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131500000), high=Quotation(units=0, nano=131500000), low=Quotation(units=0, nano=131500000), close=Quotation(units=0, nano=131500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131500000), high=Quotation(units=0, nano=131500000), low=Quotation(units=0, nano=131500000), close=Quotation(units=0, nano=131500000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131480000), high=Quotation(units=0, nano=132560000), low=Quotation(units=0, nano=131480000), close=Quotation(units=0, nano=132560000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131480000), high=Quotation(units=0, nano=131480000), low=Quotation(units=0, nano=131480000), close=Quotation(units=0, nano=131480000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=132560000), high=Quotation(units=0, nano=132560000), low=Quotation(units=0, nano=132560000), close=Quotation(units=0, nano=132560000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131480000), high=Quotation(units=0, nano=131480000), low=Quotation(units=0, nano=131480000), close=Quotation(units=0, nano=131480000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 44, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=131460000), high=Quotation(units=0, nano=131460000), low=Quotation(units=0, nano=131420000), close=Quotation(units=0, nano=131420000), volume=26, time=datetime.datetime(2023, 9, 2, 12, 51, tzinfo=datetime.timezone.utc), is_complete=True)
