HistoricCandle(open=Quotation(units=0, nano=991000000), high=Quotation(units=0, nano=991000000), low=Quotation(units=0, nano=991000000), close=Quotation(units=0, nano=991000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991000000), high=Quotation(units=0, nano=991000000), low=Quotation(units=0, nano=991000000), close=Quotation(units=0, nano=991000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991100000), high=Quotation(units=0, nano=991200000), low=Quotation(units=0, nano=991100000), close=Quotation(units=0, nano=991200000), volume=34, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991400000), high=Quotation(units=0, nano=991400000), low=Quotation(units=0, nano=991400000), close=Quotation(units=0, nano=991400000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983400000), high=Quotation(units=0, nano=983400000), low=Quotation(units=0, nano=983400000), close=Quotation(units=0, nano=983400000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983300000), high=Quotation(units=0, nano=983300000), low=Quotation(units=0, nano=983300000), close=Quotation(units=0, nano=983300000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991300000), high=Quotation(units=0, nano=991400000), low=Quotation(units=0, nano=991300000), close=Quotation(units=0, nano=991400000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991400000), high=Quotation(units=0, nano=991400000), low=Quotation(units=0, nano=991400000), close=Quotation(units=0, nano=991400000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983400000), high=Quotation(units=0, nano=983400000), low=Quotation(units=0, nano=983400000), close=Quotation(units=0, nano=983400000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991400000), high=Quotation(units=0, nano=991400000), low=Quotation(units=0, nano=991400000), close=Quotation(units=0, nano=991400000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991400000), high=Quotation(units=0, nano=991400000), low=Quotation(units=0, nano=991400000), close=Quotation(units=0, nano=991400000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991500000), high=Quotation(units=0, nano=991500000), low=Quotation(units=0, nano=991500000), close=Quotation(units=0, nano=991500000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991500000), high=Quotation(units=0, nano=991500000), low=Quotation(units=0, nano=991500000), close=Quotation(units=0, nano=991500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991500000), high=Quotation(units=0, nano=991500000), low=Quotation(units=0, nano=991500000), close=Quotation(units=0, nano=991500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983500000), high=Quotation(units=0, nano=983500000), low=Quotation(units=0, nano=983500000), close=Quotation(units=0, nano=983500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983500000), high=Quotation(units=0, nano=983500000), low=Quotation(units=0, nano=983500000), close=Quotation(units=0, nano=983500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991500000), high=Quotation(units=0, nano=991500000), low=Quotation(units=0, nano=991500000), close=Quotation(units=0, nano=991500000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=991500000), high=Quotation(units=0, nano=991500000), low=Quotation(units=0, nano=991500000), close=Quotation(units=0, nano=991500000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983500000), high=Quotation(units=0, nano=983500000), low=Quotation(units=0, nano=983500000), close=Quotation(units=0, nano=983500000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983400000), high=Quotation(units=0, nano=983400000), low=Quotation(units=0, nano=983200000), close=Quotation(units=0, nano=983200000), volume=40, time=datetime.datetime(2023, 9, 2, 12, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983000000), high=Quotation(units=0, nano=983000000), low=Quotation(units=0, nano=983000000), close=Quotation(units=0, nano=983000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=983000000), high=Quotation(units=0, nano=983000000), low=Quotation(units=0, nano=982900000), close=Quotation(units=0, nano=982900000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982800000), high=Quotation(units=0, nano=982800000), low=Quotation(units=0, nano=982800000), close=Quotation(units=0, nano=982800000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990700000), high=Quotation(units=0, nano=990700000), low=Quotation(units=0, nano=990700000), close=Quotation(units=0, nano=990700000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990800000), high=Quotation(units=0, nano=990800000), low=Quotation(units=0, nano=990800000), close=Quotation(units=0, nano=990800000), volume=7, time=datetime.datetime(2023, 9, 2, 13, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982800000), high=Quotation(units=0, nano=982800000), low=Quotation(units=0, nano=982800000), close=Quotation(units=0, nano=982800000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990800000), high=Quotation(units=0, nano=990800000), low=Quotation(units=0, nano=990800000), close=Quotation(units=0, nano=990800000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990800000), high=Quotation(units=0, nano=990800000), low=Quotation(units=0, nano=990800000), close=Quotation(units=0, nano=990800000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982800000), high=Quotation(units=0, nano=982800000), low=Quotation(units=0, nano=982800000), close=Quotation(units=0, nano=982800000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982700000), high=Quotation(units=0, nano=982700000), low=Quotation(units=0, nano=982700000), close=Quotation(units=0, nano=982700000), volume=12, time=datetime.datetime(2023, 9, 2, 13, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990700000), high=Quotation(units=0, nano=990700000), low=Quotation(units=0, nano=982400000), close=Quotation(units=0, nano=982400000), volume=40, time=datetime.datetime(2023, 9, 2, 13, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990400000), high=Quotation(units=0, nano=990400000), low=Quotation(units=0, nano=990400000), close=Quotation(units=0, nano=990400000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982400000), high=Quotation(units=0, nano=982400000), low=Quotation(units=0, nano=982300000), close=Quotation(units=0, nano=982300000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990400000), high=Quotation(units=0, nano=990400000), low=Quotation(units=0, nano=982500000), close=Quotation(units=0, nano=982500000), volume=21, time=datetime.datetime(2023, 9, 2, 13, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982500000), high=Quotation(units=0, nano=982500000), low=Quotation(units=0, nano=982500000), close=Quotation(units=0, nano=982500000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982500000), high=Quotation(units=0, nano=990600000), low=Quotation(units=0, nano=982500000), close=Quotation(units=0, nano=990600000), volume=11, time=datetime.datetime(2023, 9, 2, 13, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=990700000), high=Quotation(units=0, nano=990700000), low=Quotation(units=0, nano=990700000), close=Quotation(units=0, nano=990700000), volume=10, time=datetime.datetime(2023, 9, 2, 13, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982700000), high=Quotation(units=0, nano=982700000), low=Quotation(units=0, nano=982700000), close=Quotation(units=0, nano=982700000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=0, nano=982700000), high=Quotation(units=0, nano=982700000), low=Quotation(units=0, nano=982700000), close=Quotation(units=0, nano=982700000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 37, tzinfo=datetime.timezone.utc), is_complete=True)
