HistoricCandle(open=Quotation(units=1428, nano=0), high=Quotation(units=1428, nano=0), low=Quotation(units=1414, nano=600000000), close=Quotation(units=1414, nano=600000000), volume=238, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1426, nano=0), high=Quotation(units=1426, nano=0), low=Quotation(units=1415, nano=600000000), close=Quotation(units=1415, nano=600000000), volume=308, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1426, nano=200000000), high=Quotation(units=1426, nano=200000000), low=Quotation(units=1426, nano=200000000), close=Quotation(units=1426, nano=200000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1426, nano=400000000), high=Quotation(units=1426, nano=400000000), low=Quotation(units=1426, nano=400000000), close=Quotation(units=1426, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1426, nano=800000000), high=Quotation(units=1426, nano=800000000), low=Quotation(units=1426, nano=800000000), close=Quotation(units=1426, nano=800000000), volume=38, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1427, nano=600000000), high=Quotation(units=1427, nano=600000000), low=Quotation(units=1427, nano=600000000), close=Quotation(units=1427, nano=600000000), volume=30, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1416, nano=200000000), high=Quotation(units=1416, nano=200000000), low=Quotation(units=1416, nano=200000000), close=Quotation(units=1416, nano=200000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1428, nano=400000000), high=Quotation(units=1428, nano=400000000), low=Quotation(units=1428, nano=400000000), close=Quotation(units=1428, nano=400000000), volume=50, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1429, nano=0), high=Quotation(units=1429, nano=0), low=Quotation(units=1429, nano=0), close=Quotation(units=1429, nano=0), volume=10, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1429, nano=600000000), high=Quotation(units=1429, nano=600000000), low=Quotation(units=1429, nano=600000000), close=Quotation(units=1429, nano=600000000), volume=50, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=200000000), high=Quotation(units=1430, nano=400000000), low=Quotation(units=1430, nano=200000000), close=Quotation(units=1430, nano=400000000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1418, nano=800000000), high=Quotation(units=1418, nano=800000000), low=Quotation(units=1418, nano=800000000), close=Quotation(units=1418, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=400000000), high=Quotation(units=1430, nano=600000000), low=Quotation(units=1430, nano=400000000), close=Quotation(units=1430, nano=600000000), volume=20, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=800000000), high=Quotation(units=1430, nano=800000000), low=Quotation(units=1419, nano=0), close=Quotation(units=1419, nano=0), volume=6, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=800000000), high=Quotation(units=1430, nano=800000000), low=Quotation(units=1430, nano=800000000), close=Quotation(units=1430, nano=800000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=800000000), high=Quotation(units=1430, nano=800000000), low=Quotation(units=1430, nano=800000000), close=Quotation(units=1430, nano=800000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1419, nano=200000000), high=Quotation(units=1419, nano=200000000), low=Quotation(units=1419, nano=200000000), close=Quotation(units=1419, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1430, nano=800000000), high=Quotation(units=1430, nano=800000000), low=Quotation(units=1430, nano=800000000), close=Quotation(units=1430, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=0), high=Quotation(units=1431, nano=200000000), low=Quotation(units=1419, nano=400000000), close=Quotation(units=1419, nano=400000000), volume=28, time=datetime.datetime(2023, 9, 2, 12, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=0), high=Quotation(units=1431, nano=0), low=Quotation(units=1431, nano=0), close=Quotation(units=1431, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1419, nano=400000000), high=Quotation(units=1419, nano=400000000), low=Quotation(units=1419, nano=400000000), close=Quotation(units=1419, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1419, nano=0), high=Quotation(units=1430, nano=800000000), low=Quotation(units=1419, nano=0), close=Quotation(units=1430, nano=800000000), volume=102, time=datetime.datetime(2023, 9, 2, 12, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=600000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1431, nano=600000000), close=Quotation(units=1431, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1419, nano=800000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1419, nano=800000000), close=Quotation(units=1431, nano=600000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=600000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1431, nano=600000000), close=Quotation(units=1431, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=0), high=Quotation(units=1420, nano=0), low=Quotation(units=1420, nano=0), close=Quotation(units=1420, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=600000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1431, nano=600000000), close=Quotation(units=1431, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=600000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1431, nano=600000000), close=Quotation(units=1431, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=11, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1432, nano=0), high=Quotation(units=1432, nano=0), low=Quotation(units=1420, nano=400000000), close=Quotation(units=1420, nano=400000000), volume=9, time=datetime.datetime(2023, 9, 2, 12, 26, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 30, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 35, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 39, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 45, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=800000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1431, nano=800000000), close=Quotation(units=1431, nano=800000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1431, nano=800000000), low=Quotation(units=1420, nano=200000000), close=Quotation(units=1420, nano=200000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=200000000), high=Quotation(units=1420, nano=200000000), low=Quotation(units=1420, nano=0), close=Quotation(units=1420, nano=0), volume=9, time=datetime.datetime(2023, 9, 2, 12, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=0), high=Quotation(units=1420, nano=0), low=Quotation(units=1420, nano=0), close=Quotation(units=1420, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1431, nano=600000000), high=Quotation(units=1431, nano=600000000), low=Quotation(units=1431, nano=600000000), close=Quotation(units=1431, nano=600000000), volume=5, time=datetime.datetime(2023, 9, 2, 13, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=0), high=Quotation(units=1420, nano=0), low=Quotation(units=1420, nano=0), close=Quotation(units=1420, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1420, nano=0), high=Quotation(units=1420, nano=0), low=Quotation(units=1420, nano=0), close=Quotation(units=1420, nano=0), volume=4, time=datetime.datetime(2023, 9, 2, 13, 4, tzinfo=datetime.timezone.utc), is_complete=True)
