HistoricCandle(open=Quotation(units=6088, nano=500000000), high=Quotation(units=6088, nano=500000000), low=Quotation(units=6088, nano=500000000), close=Quotation(units=6088, nano=500000000), volume=16, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6032, nano=500000000), high=Quotation(units=6032, nano=500000000), low=Quotation(units=6032, nano=500000000), close=Quotation(units=6032, nano=500000000), volume=49, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6072, nano=500000000), high=Quotation(units=6072, nano=500000000), low=Quotation(units=6072, nano=500000000), close=Quotation(units=6072, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6022, nano=500000000), high=Quotation(units=6022, nano=500000000), low=Quotation(units=6016, nano=0), close=Quotation(units=6016, nano=0), volume=35, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6010, nano=0), high=Quotation(units=6059, nano=500000000), low=Quotation(units=6010, nano=0), close=Quotation(units=6059, nano=500000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6060, nano=0), high=Quotation(units=6069, nano=500000000), low=Quotation(units=6060, nano=0), close=Quotation(units=6069, nano=500000000), volume=50, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6028, nano=500000000), high=Quotation(units=6028, nano=500000000), low=Quotation(units=6028, nano=500000000), close=Quotation(units=6028, nano=500000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6027, nano=0), high=Quotation(units=6027, nano=0), low=Quotation(units=6027, nano=0), close=Quotation(units=6027, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6023, nano=0), high=Quotation(units=6023, nano=0), low=Quotation(units=6023, nano=0), close=Quotation(units=6023, nano=0), volume=18, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6069, nano=0), high=Quotation(units=6069, nano=0), low=Quotation(units=6069, nano=0), close=Quotation(units=6069, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6019, nano=500000000), high=Quotation(units=6019, nano=500000000), low=Quotation(units=6019, nano=0), close=Quotation(units=6019, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 12, 24, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6068, nano=0), high=Quotation(units=6068, nano=0), low=Quotation(units=6068, nano=0), close=Quotation(units=6068, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6019, nano=0), high=Quotation(units=6068, nano=0), low=Quotation(units=6019, nano=0), close=Quotation(units=6068, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6019, nano=0), high=Quotation(units=6068, nano=0), low=Quotation(units=6019, nano=0), close=Quotation(units=6068, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 28, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6019, nano=0), high=Quotation(units=6066, nano=500000000), low=Quotation(units=6018, nano=0), close=Quotation(units=6066, nano=500000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6067, nano=500000000), high=Quotation(units=6067, nano=500000000), low=Quotation(units=6067, nano=500000000), close=Quotation(units=6067, nano=500000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 32, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6017, nano=500000000), high=Quotation(units=6066, nano=0), low=Quotation(units=6017, nano=500000000), close=Quotation(units=6066, nano=0), volume=6, time=datetime.datetime(2023, 9, 2, 12, 34, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6016, nano=500000000), high=Quotation(units=6016, nano=500000000), low=Quotation(units=6016, nano=500000000), close=Quotation(units=6016, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6066, nano=0), high=Quotation(units=6066, nano=0), low=Quotation(units=6066, nano=0), close=Quotation(units=6066, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 38, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6066, nano=0), high=Quotation(units=6066, nano=0), low=Quotation(units=6066, nano=0), close=Quotation(units=6066, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6072, nano=500000000), high=Quotation(units=6079, nano=500000000), low=Quotation(units=6072, nano=500000000), close=Quotation(units=6079, nano=500000000), volume=34, time=datetime.datetime(2023, 9, 2, 12, 41, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6079, nano=500000000), high=Quotation(units=6080, nano=0), low=Quotation(units=6079, nano=500000000), close=Quotation(units=6080, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 42, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6030, nano=500000000), high=Quotation(units=6030, nano=500000000), low=Quotation(units=6030, nano=500000000), close=Quotation(units=6030, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6080, nano=500000000), high=Quotation(units=6081, nano=0), low=Quotation(units=6080, nano=500000000), close=Quotation(units=6081, nano=0), volume=4, time=datetime.datetime(2023, 9, 2, 12, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6032, nano=0), high=Quotation(units=6081, nano=0), low=Quotation(units=6032, nano=0), close=Quotation(units=6081, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6081, nano=500000000), high=Quotation(units=6081, nano=500000000), low=Quotation(units=6081, nano=500000000), close=Quotation(units=6081, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6083, nano=500000000), high=Quotation(units=6083, nano=500000000), low=Quotation(units=6083, nano=500000000), close=Quotation(units=6083, nano=500000000), volume=8, time=datetime.datetime(2023, 9, 2, 13, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6035, nano=500000000), high=Quotation(units=6035, nano=500000000), low=Quotation(units=6035, nano=500000000), close=Quotation(units=6035, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6034, nano=500000000), high=Quotation(units=6034, nano=500000000), low=Quotation(units=6034, nano=500000000), close=Quotation(units=6034, nano=500000000), volume=3, time=datetime.datetime(2023, 9, 2, 13, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6083, nano=500000000), high=Quotation(units=6083, nano=500000000), low=Quotation(units=6083, nano=500000000), close=Quotation(units=6083, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6034, nano=0), high=Quotation(units=6034, nano=0), low=Quotation(units=6034, nano=0), close=Quotation(units=6034, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6084, nano=0), high=Quotation(units=6084, nano=0), low=Quotation(units=6084, nano=0), close=Quotation(units=6084, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 13, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6031, nano=500000000), high=Quotation(units=6031, nano=500000000), low=Quotation(units=6031, nano=500000000), close=Quotation(units=6031, nano=500000000), volume=20, time=datetime.datetime(2023, 9, 2, 13, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6077, nano=0), high=Quotation(units=6077, nano=0), low=Quotation(units=6077, nano=0), close=Quotation(units=6077, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6027, nano=500000000), high=Quotation(units=6027, nano=500000000), low=Quotation(units=6027, nano=500000000), close=Quotation(units=6027, nano=500000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6078, nano=0), high=Quotation(units=6078, nano=0), low=Quotation(units=6078, nano=0), close=Quotation(units=6078, nano=0), volume=9, time=datetime.datetime(2023, 9, 2, 13, 23, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6080, nano=500000000), high=Quotation(units=6080, nano=500000000), low=Quotation(units=6080, nano=500000000), close=Quotation(units=6080, nano=500000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 27, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6031, nano=0), high=Quotation(units=6031, nano=0), low=Quotation(units=6031, nano=0), close=Quotation(units=6031, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6083, nano=0), high=Quotation(units=6086, nano=0), low=Quotation(units=6083, nano=0), close=Quotation(units=6086, nano=0), volume=15, time=datetime.datetime(2023, 9, 2, 13, 37, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6035, nano=500000000), high=Quotation(units=6035, nano=500000000), low=Quotation(units=6035, nano=500000000), close=Quotation(units=6035, nano=500000000), volume=7, time=datetime.datetime(2023, 9, 2, 13, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6084, nano=500000000), high=Quotation(units=6085, nano=500000000), low=Quotation(units=6035, nano=500000000), close=Quotation(units=6085, nano=500000000), volume=8, time=datetime.datetime(2023, 9, 2, 13, 44, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6086, nano=500000000), high=Quotation(units=6086, nano=500000000), low=Quotation(units=6086, nano=500000000), close=Quotation(units=6086, nano=500000000), volume=5, time=datetime.datetime(2023, 9, 2, 13, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6038, nano=0), high=Quotation(units=6038, nano=0), low=Quotation(units=6038, nano=0), close=Quotation(units=6038, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6036, nano=0), high=Quotation(units=6084, nano=0), low=Quotation(units=6036, nano=0), close=Quotation(units=6084, nano=0), volume=10, time=datetime.datetime(2023, 9, 2, 13, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6034, nano=500000000), high=Quotation(units=6034, nano=500000000), low=Quotation(units=6034, nano=0), close=Quotation(units=6034, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 13, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6032, nano=0), high=Quotation(units=6032, nano=0), low=Quotation(units=6032, nano=0), close=Quotation(units=6032, nano=0), volume=10, time=datetime.datetime(2023, 9, 2, 13, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6028, nano=500000000), high=Quotation(units=6028, nano=500000000), low=Quotation(units=6028, nano=500000000), close=Quotation(units=6028, nano=500000000), volume=8, time=datetime.datetime(2023, 9, 2, 14, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=6081, nano=0), high=Quotation(units=6082, nano=0), low=Quotation(units=6081, nano=0), close=Quotation(units=6082, nano=0), volume=7, time=datetime.datetime(2023, 9, 2, 14, 1, tzinfo=datetime.timezone.utc), is_complete=True)
