HistoricCandle(open=Quotation(units=591, nano=700000000), high=Quotation(units=596, nano=500000000), low=Quotation(units=591, nano=700000000), close=Quotation(units=596, nano=500000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=591, nano=700000000), high=Quotation(units=596, nano=600000000), low=Quotation(units=591, nano=700000000), close=Quotation(units=596, nano=600000000), volume=17, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=600000000), high=Quotation(units=596, nano=600000000), low=Quotation(units=596, nano=600000000), close=Quotation(units=596, nano=600000000), volume=16, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=600000000), high=Quotation(units=596, nano=600000000), low=Quotation(units=591, nano=800000000), close=Quotation(units=591, nano=800000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=600000000), high=Quotation(units=596, nano=700000000), low=Quotation(units=591, nano=800000000), close=Quotation(units=591, nano=800000000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=700000000), high=Quotation(units=596, nano=800000000), low=Quotation(units=596, nano=700000000), close=Quotation(units=596, nano=800000000), volume=55, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=592, nano=0), high=Quotation(units=592, nano=0), low=Quotation(units=592, nano=0), close=Quotation(units=592, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=592, nano=0), high=Quotation(units=596, nano=800000000), low=Quotation(units=592, nano=0), close=Quotation(units=596, nano=800000000), volume=18, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=592, nano=0), high=Quotation(units=592, nano=0), low=Quotation(units=592, nano=0), close=Quotation(units=592, nano=0), volume=10, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=800000000), high=Quotation(units=596, nano=800000000), low=Quotation(units=591, nano=900000000), close=Quotation(units=591, nano=900000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=591, nano=900000000), high=Quotation(units=596, nano=800000000), low=Quotation(units=591, nano=800000000), close=Quotation(units=596, nano=800000000), volume=77, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=800000000), high=Quotation(units=596, nano=900000000), low=Quotation(units=596, nano=800000000), close=Quotation(units=596, nano=900000000), volume=12, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=900000000), high=Quotation(units=596, nano=900000000), low=Quotation(units=591, nano=900000000), close=Quotation(units=591, nano=900000000), volume=84, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=600000000), high=Quotation(units=596, nano=600000000), low=Quotation(units=591, nano=700000000), close=Quotation(units=591, nano=700000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=600000000), high=Quotation(units=596, nano=600000000), low=Quotation(units=591, nano=600000000), close=Quotation(units=591, nano=600000000), volume=101, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=200000000), high=Quotation(units=596, nano=200000000), low=Quotation(units=591, nano=400000000), close=Quotation(units=596, nano=200000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=300000000), high=Quotation(units=596, nano=400000000), low=Quotation(units=596, nano=300000000), close=Quotation(units=596, nano=400000000), volume=57, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=500000000), high=Quotation(units=596, nano=500000000), low=Quotation(units=591, nano=600000000), close=Quotation(units=596, nano=400000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=500000000), high=Quotation(units=596, nano=500000000), low=Quotation(units=591, nano=400000000), close=Quotation(units=596, nano=300000000), volume=91, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=591, nano=400000000), high=Quotation(units=591, nano=400000000), low=Quotation(units=591, nano=400000000), close=Quotation(units=591, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=300000000), high=Quotation(units=596, nano=400000000), low=Quotation(units=591, nano=500000000), close=Quotation(units=591, nano=600000000), volume=92, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=596, nano=400000000), high=Quotation(units=596, nano=400000000), low=Quotation(units=591, nano=600000000), close=Quotation(units=591, nano=600000000), volume=13, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
