HistoricCandle(open=Quotation(units=75, nano=930000000), high=Quotation(units=75, nano=930000000), low=Quotation(units=75, nano=930000000), close=Quotation(units=75, nano=930000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=75, nano=930000000), high=Quotation(units=75, nano=930000000), low=Quotation(units=75, nano=930000000), close=Quotation(units=75, nano=930000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=75, nano=930000000), high=Quotation(units=75, nano=930000000), low=Quotation(units=75, nano=930000000), close=Quotation(units=75, nano=930000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=76, nano=550000000), high=Quotation(units=76, nano=550000000), low=Quotation(units=76, nano=550000000), close=Quotation(units=76, nano=550000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=75, nano=930000000), high=Quotation(units=75, nano=930000000), low=Quotation(units=75, nano=930000000), close=Quotation(units=75, nano=930000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 13, tzinfo=datetime.timezone.utc), is_complete=True)
