HistoricCandle(open=Quotation(units=359, nano=700000000), high=Quotation(units=359, nano=700000000), low=Quotation(units=359, nano=700000000), close=Quotation(units=359, nano=700000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=362, nano=700000000), high=Quotation(units=362, nano=900000000), low=Quotation(units=362, nano=700000000), close=Quotation(units=362, nano=900000000), volume=30, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=363, nano=0), high=Quotation(units=363, nano=0), low=Quotation(units=363, nano=0), close=Quotation(units=363, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=363, nano=50000000), high=Quotation(units=363, nano=50000000), low=Quotation(units=363, nano=50000000), close=Quotation(units=363, nano=50000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=363, nano=650000000), high=Quotation(units=364, nano=350000000), low=Quotation(units=363, nano=650000000), close=Quotation(units=364, nano=350000000), volume=101, time=datetime.datetime(2023, 9, 2, 13, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=364, nano=600000000), high=Quotation(units=364, nano=600000000), low=Quotation(units=364, nano=600000000), close=Quotation(units=364, nano=600000000), volume=11, time=datetime.datetime(2023, 9, 2, 13, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=364, nano=650000000), high=Quotation(units=364, nano=650000000), low=Quotation(units=364, nano=650000000), close=Quotation(units=364, nano=650000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 29, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=364, nano=650000000), high=Quotation(units=364, nano=650000000), low=Quotation(units=364, nano=650000000), close=Quotation(units=364, nano=650000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 33, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=361, nano=700000000), high=Quotation(units=361, nano=700000000), low=Quotation(units=361, nano=700000000), close=Quotation(units=361, nano=700000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=364, nano=650000000), high=Quotation(units=364, nano=650000000), low=Quotation(units=364, nano=650000000), close=Quotation(units=364, nano=650000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=364, nano=700000000), high=Quotation(units=364, nano=700000000), low=Quotation(units=364, nano=700000000), close=Quotation(units=364, nano=700000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 58, tzinfo=datetime.timezone.utc), is_complete=True)
