HistoricCandle(open=Quotation(units=1457, nano=500000000), high=Quotation(units=1457, nano=500000000), low=Quotation(units=1457, nano=500000000), close=Quotation(units=1457, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1457, nano=500000000), high=Quotation(units=1457, nano=500000000), low=Quotation(units=1457, nano=500000000), close=Quotation(units=1457, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=0), high=Quotation(units=1445, nano=0), low=Quotation(units=1445, nano=0), close=Quotation(units=1445, nano=0), volume=25, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1458, nano=0), close=Quotation(units=1458, nano=0), volume=70, time=datetime.datetime(2023, 9, 2, 12, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1446, nano=500000000), high=Quotation(units=1446, nano=500000000), low=Quotation(units=1446, nano=500000000), close=Quotation(units=1446, nano=500000000), volume=14, time=datetime.datetime(2023, 9, 2, 12, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=500000000), high=Quotation(units=1458, nano=500000000), low=Quotation(units=1458, nano=500000000), close=Quotation(units=1458, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 25, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1446, nano=0), high=Quotation(units=1446, nano=0), low=Quotation(units=1446, nano=0), close=Quotation(units=1446, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 31, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1446, nano=0), high=Quotation(units=1446, nano=0), low=Quotation(units=1446, nano=0), close=Quotation(units=1446, nano=0), volume=20, time=datetime.datetime(2023, 9, 2, 12, 43, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 46, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1458, nano=0), close=Quotation(units=1458, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1458, nano=0), close=Quotation(units=1458, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1458, nano=0), close=Quotation(units=1458, nano=0), volume=6, time=datetime.datetime(2023, 9, 2, 12, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1446, nano=0), high=Quotation(units=1446, nano=0), low=Quotation(units=1446, nano=0), close=Quotation(units=1446, nano=0), volume=11, time=datetime.datetime(2023, 9, 2, 12, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1446, nano=0), close=Quotation(units=1446, nano=0), volume=9, time=datetime.datetime(2023, 9, 2, 13, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1446, nano=0), high=Quotation(units=1446, nano=0), low=Quotation(units=1446, nano=0), close=Quotation(units=1446, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 13, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1458, nano=0), high=Quotation(units=1458, nano=0), low=Quotation(units=1458, nano=0), close=Quotation(units=1458, nano=0), volume=5, time=datetime.datetime(2023, 9, 2, 13, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=20, time=datetime.datetime(2023, 9, 2, 13, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1445, nano=500000000), high=Quotation(units=1445, nano=500000000), low=Quotation(units=1445, nano=500000000), close=Quotation(units=1445, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 20, tzinfo=datetime.timezone.utc), is_complete=True)
