HistoricCandle(open=Quotation(units=1, nano=431500000), high=Quotation(units=1, nano=445500000), low=Quotation(units=1, nano=430500000), close=Quotation(units=1, nano=439500000), volume=147, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=441000000), high=Quotation(units=1, nano=441000000), low=Quotation(units=1, nano=429500000), close=Quotation(units=1, nano=429500000), volume=535, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=430000000), high=Quotation(units=1, nano=433000000), low=Quotation(units=1, nano=430000000), close=Quotation(units=1, nano=433000000), volume=64, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=433500000), high=Quotation(units=1, nano=435500000), low=Quotation(units=1, nano=430000000), close=Quotation(units=1, nano=435500000), volume=72, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=435500000), high=Quotation(units=1, nano=446000000), low=Quotation(units=1, nano=435500000), close=Quotation(units=1, nano=443500000), volume=441, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=437500000), high=Quotation(units=1, nano=437500000), low=Quotation(units=1, nano=429500000), close=Quotation(units=1, nano=431500000), volume=562, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=432500000), high=Quotation(units=1, nano=432500000), low=Quotation(units=1, nano=427000000), close=Quotation(units=1, nano=427000000), volume=628, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=427000000), high=Quotation(units=1, nano=427000000), low=Quotation(units=1, nano=422500000), close=Quotation(units=1, nano=422500000), volume=407, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=422500000), high=Quotation(units=1, nano=423500000), low=Quotation(units=1, nano=422000000), close=Quotation(units=1, nano=422000000), volume=185, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=422000000), high=Quotation(units=1, nano=423500000), low=Quotation(units=1, nano=422000000), close=Quotation(units=1, nano=423500000), volume=102, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=423000000), high=Quotation(units=1, nano=423500000), low=Quotation(units=1, nano=422000000), close=Quotation(units=1, nano=422000000), volume=237, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
