HistoricCandle(open=Quotation(units=3, nano=64500000), high=Quotation(units=3, nano=85000000), low=Quotation(units=3, nano=48500000), close=Quotation(units=3, nano=70000000), volume=1086, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=70000000), high=Quotation(units=3, nano=70000000), low=Quotation(units=3, nano=64000000), close=Quotation(units=3, nano=70000000), volume=305, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=69500000), high=Quotation(units=3, nano=70000000), low=Quotation(units=3, nano=64000000), close=Quotation(units=3, nano=65000000), volume=531, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=65000000), high=Quotation(units=3, nano=70000000), low=Quotation(units=3, nano=64000000), close=Quotation(units=3, nano=68000000), volume=80, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=68000000), high=Quotation(units=3, nano=69500000), low=Quotation(units=3, nano=65500000), close=Quotation(units=3, nano=69500000), volume=218, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=67000000), high=Quotation(units=3, nano=70000000), low=Quotation(units=3, nano=65500000), close=Quotation(units=3, nano=68000000), volume=372, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=67000000), high=Quotation(units=3, nano=76000000), low=Quotation(units=3, nano=67000000), close=Quotation(units=3, nano=72000000), volume=612, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=73000000), high=Quotation(units=3, nano=76500000), low=Quotation(units=3, nano=70500000), close=Quotation(units=3, nano=73000000), volume=110, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=72500000), high=Quotation(units=3, nano=79000000), low=Quotation(units=3, nano=68500000), close=Quotation(units=3, nano=73000000), volume=263, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=76500000), high=Quotation(units=3, nano=80000000), low=Quotation(units=3, nano=73500000), close=Quotation(units=3, nano=80000000), volume=168, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=80000000), high=Quotation(units=3, nano=80000000), low=Quotation(units=3, nano=69000000), close=Quotation(units=3, nano=72000000), volume=551, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=71500000), high=Quotation(units=3, nano=80000000), low=Quotation(units=3, nano=70500000), close=Quotation(units=3, nano=75000000), volume=253, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=75000000), high=Quotation(units=3, nano=79500000), low=Quotation(units=3, nano=75000000), close=Quotation(units=3, nano=77000000), volume=45, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=3, nano=77000000), high=Quotation(units=3, nano=78500000), low=Quotation(units=3, nano=76000000), close=Quotation(units=3, nano=78500000), volume=29, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
