HistoricCandle(open=Quotation(units=7304, nano=0), high=Quotation(units=7304, nano=0), low=Quotation(units=7245, nano=0), close=Quotation(units=7245, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7243, nano=0), high=Quotation(units=7243, nano=0), low=Quotation(units=7243, nano=0), close=Quotation(units=7243, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7243, nano=0), high=Quotation(units=7243, nano=0), low=Quotation(units=7243, nano=0), close=Quotation(units=7243, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7303, nano=0), high=Quotation(units=7303, nano=0), low=Quotation(units=7243, nano=0), close=Quotation(units=7243, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7303, nano=0), high=Quotation(units=7303, nano=0), low=Quotation(units=7303, nano=0), close=Quotation(units=7303, nano=0), volume=5, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7238, nano=0), high=Quotation(units=7238, nano=0), low=Quotation(units=7238, nano=0), close=Quotation(units=7238, nano=0), volume=23, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7292, nano=0), high=Quotation(units=7292, nano=0), low=Quotation(units=7292, nano=0), close=Quotation(units=7292, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7232, nano=0), high=Quotation(units=7232, nano=0), low=Quotation(units=7232, nano=0), close=Quotation(units=7232, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7229, nano=0), high=Quotation(units=7229, nano=0), low=Quotation(units=7224, nano=0), close=Quotation(units=7224, nano=0), volume=20, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7220, nano=0), high=Quotation(units=7220, nano=0), low=Quotation(units=7220, nano=0), close=Quotation(units=7220, nano=0), volume=3, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7279, nano=0), high=Quotation(units=7279, nano=0), low=Quotation(units=7279, nano=0), close=Quotation(units=7279, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=7281, nano=0), high=Quotation(units=7281, nano=0), low=Quotation(units=7281, nano=0), close=Quotation(units=7281, nano=0), volume=5, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
