HistoricCandle(open=Quotation(units=82, nano=450000000), high=Quotation(units=83, nano=120000000), low=Quotation(units=82, nano=450000000), close=Quotation(units=83, nano=120000000), volume=32, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=440000000), high=Quotation(units=83, nano=110000000), low=Quotation(units=82, nano=440000000), close=Quotation(units=83, nano=110000000), volume=16, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=440000000), high=Quotation(units=82, nano=440000000), low=Quotation(units=82, nano=440000000), close=Quotation(units=82, nano=440000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=83, nano=110000000), high=Quotation(units=83, nano=110000000), low=Quotation(units=83, nano=110000000), close=Quotation(units=83, nano=110000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=83, nano=150000000), high=Quotation(units=83, nano=180000000), low=Quotation(units=82, nano=360000000), close=Quotation(units=82, nano=360000000), volume=475, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=240000000), high=Quotation(units=82, nano=910000000), low=Quotation(units=82, nano=240000000), close=Quotation(units=82, nano=910000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=240000000), high=Quotation(units=82, nano=920000000), low=Quotation(units=82, nano=240000000), close=Quotation(units=82, nano=920000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=920000000), high=Quotation(units=82, nano=920000000), low=Quotation(units=82, nano=920000000), close=Quotation(units=82, nano=920000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=250000000), high=Quotation(units=82, nano=920000000), low=Quotation(units=82, nano=250000000), close=Quotation(units=82, nano=250000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=920000000), high=Quotation(units=82, nano=920000000), low=Quotation(units=82, nano=240000000), close=Quotation(units=82, nano=240000000), volume=22, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=82, nano=910000000), high=Quotation(units=82, nano=910000000), low=Quotation(units=82, nano=240000000), close=Quotation(units=82, nano=240000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
