HistoricCandle(open=Quotation(units=828, nano=900000000), high=Quotation(units=828, nano=900000000), low=Quotation(units=828, nano=900000000), close=Quotation(units=828, nano=900000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=828, nano=900000000), high=Quotation(units=828, nano=900000000), low=Quotation(units=828, nano=900000000), close=Quotation(units=828, nano=900000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=828, nano=900000000), high=Quotation(units=829, nano=0), low=Quotation(units=828, nano=900000000), close=Quotation(units=829, nano=0), volume=9, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=100000000), high=Quotation(units=829, nano=100000000), low=Quotation(units=829, nano=100000000), close=Quotation(units=829, nano=100000000), volume=30, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=200000000), high=Quotation(units=829, nano=200000000), low=Quotation(units=822, nano=500000000), close=Quotation(units=822, nano=500000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=300000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=829, nano=300000000), close=Quotation(units=829, nano=500000000), volume=43, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=500000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=829, nano=500000000), close=Quotation(units=829, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=500000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=829, nano=500000000), close=Quotation(units=829, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=500000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=829, nano=500000000), close=Quotation(units=829, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=822, nano=800000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=822, nano=800000000), close=Quotation(units=822, nano=800000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=500000000), high=Quotation(units=829, nano=500000000), low=Quotation(units=829, nano=500000000), close=Quotation(units=829, nano=500000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=500000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=829, nano=500000000), close=Quotation(units=829, nano=600000000), volume=13, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=600000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=822, nano=900000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=600000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=829, nano=600000000), close=Quotation(units=829, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=600000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=822, nano=900000000), volume=7, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=822, nano=900000000), high=Quotation(units=822, nano=900000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=822, nano=900000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=600000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=829, nano=600000000), close=Quotation(units=829, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=822, nano=900000000), high=Quotation(units=822, nano=900000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=822, nano=900000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=829, nano=700000000), high=Quotation(units=829, nano=700000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=822, nano=900000000), volume=8, time=datetime.datetime(2023, 9, 2, 12, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=822, nano=900000000), high=Quotation(units=829, nano=600000000), low=Quotation(units=822, nano=900000000), close=Quotation(units=829, nano=600000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 17, tzinfo=datetime.timezone.utc), is_complete=True)
