HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=51, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=13, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=196, nano=600000000), high=Quotation(units=196, nano=600000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=171, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=196, nano=600000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=198, nano=300000000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=8, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=196, nano=600000000), high=Quotation(units=196, nano=600000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=32, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=196, nano=600000000), close=Quotation(units=196, nano=600000000), volume=68, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=198, nano=300000000), high=Quotation(units=198, nano=300000000), low=Quotation(units=198, nano=300000000), close=Quotation(units=198, nano=300000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
