HistoricCandle(open=Quotation(units=52420, nano=0), high=Quotation(units=52460, nano=0), low=Quotation(units=52400, nano=0), close=Quotation(units=52460, nano=0), volume=4, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52460, nano=0), high=Quotation(units=52480, nano=0), low=Quotation(units=52460, nano=0), close=Quotation(units=52480, nano=0), volume=12, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52500, nano=0), high=Quotation(units=52500, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52500, nano=0), volume=30, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52500, nano=0), high=Quotation(units=52500, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52480, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52500, nano=0), high=Quotation(units=52520, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52480, nano=0), volume=7, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52480, nano=0), high=Quotation(units=52520, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52520, nano=0), volume=3, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52480, nano=0), high=Quotation(units=52500, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52500, nano=0), volume=6, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52480, nano=0), high=Quotation(units=52580, nano=0), low=Quotation(units=52480, nano=0), close=Quotation(units=52580, nano=0), volume=24, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52580, nano=0), high=Quotation(units=52640, nano=0), low=Quotation(units=52580, nano=0), close=Quotation(units=52580, nano=0), volume=15, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52560, nano=0), high=Quotation(units=52560, nano=0), low=Quotation(units=52520, nano=0), close=Quotation(units=52520, nano=0), volume=11, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=52580, nano=0), high=Quotation(units=52660, nano=0), low=Quotation(units=52580, nano=0), close=Quotation(units=52660, nano=0), volume=17, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
