HistoricCandle(open=Quotation(units=233, nano=100000000), high=Quotation(units=233, nano=100000000), low=Quotation(units=233, nano=100000000), close=Quotation(units=233, nano=100000000), volume=10, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=233, nano=50000000), high=Quotation(units=233, nano=50000000), low=Quotation(units=233, nano=50000000), close=Quotation(units=233, nano=50000000), volume=5, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=150000000), high=Quotation(units=235, nano=150000000), low=Quotation(units=235, nano=150000000), close=Quotation(units=235, nano=150000000), volume=50, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=233, nano=300000000), high=Quotation(units=233, nano=300000000), low=Quotation(units=233, nano=300000000), close=Quotation(units=233, nano=300000000), volume=15, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=200000000), high=Quotation(units=235, nano=200000000), low=Quotation(units=235, nano=200000000), close=Quotation(units=235, nano=200000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 36, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=200000000), high=Quotation(units=235, nano=200000000), low=Quotation(units=235, nano=200000000), close=Quotation(units=235, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 40, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=250000000), high=Quotation(units=235, nano=250000000), low=Quotation(units=235, nano=250000000), close=Quotation(units=235, nano=250000000), volume=10, time=datetime.datetime(2023, 9, 2, 13, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=233, nano=350000000), high=Quotation(units=233, nano=350000000), low=Quotation(units=233, nano=350000000), close=Quotation(units=233, nano=350000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=250000000), high=Quotation(units=235, nano=250000000), low=Quotation(units=235, nano=250000000), close=Quotation(units=235, nano=250000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 22, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=235, nano=250000000), high=Quotation(units=235, nano=250000000), low=Quotation(units=235, nano=250000000), close=Quotation(units=235, nano=250000000), volume=1, time=datetime.datetime(2023, 9, 2, 13, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=233, nano=350000000), high=Quotation(units=233, nano=350000000), low=Quotation(units=233, nano=350000000), close=Quotation(units=233, nano=350000000), volume=2, time=datetime.datetime(2023, 9, 2, 13, 52, tzinfo=datetime.timezone.utc), is_complete=True)
