HistoricCandle(open=Quotation(units=975, nano=0), high=Quotation(units=980, nano=0), low=Quotation(units=971, nano=0), close=Quotation(units=977, nano=0), volume=279, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=976, nano=500000000), high=Quotation(units=977, nano=500000000), low=Quotation(units=970, nano=500000000), close=Quotation(units=970, nano=500000000), volume=331, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=970, nano=500000000), high=Quotation(units=974, nano=0), low=Quotation(units=970, nano=500000000), close=Quotation(units=971, nano=500000000), volume=121, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=971, nano=500000000), high=Quotation(units=974, nano=0), low=Quotation(units=971, nano=500000000), close=Quotation(units=972, nano=0), volume=77, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=973, nano=0), high=Quotation(units=975, nano=0), low=Quotation(units=971, nano=0), close=Quotation(units=972, nano=0), volume=156, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=974, nano=500000000), high=Quotation(units=974, nano=500000000), low=Quotation(units=969, nano=500000000), close=Quotation(units=970, nano=0), volume=271, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=970, nano=0), high=Quotation(units=972, nano=500000000), low=Quotation(units=970, nano=0), close=Quotation(units=972, nano=0), volume=26, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=972, nano=0), high=Quotation(units=972, nano=0), low=Quotation(units=968, nano=0), close=Quotation(units=968, nano=500000000), volume=177, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=968, nano=500000000), high=Quotation(units=968, nano=500000000), low=Quotation(units=967, nano=0), close=Quotation(units=968, nano=0), volume=116, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=968, nano=0), high=Quotation(units=969, nano=500000000), low=Quotation(units=968, nano=0), close=Quotation(units=968, nano=0), volume=23, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=969, nano=500000000), high=Quotation(units=971, nano=0), low=Quotation(units=968, nano=0), close=Quotation(units=971, nano=0), volume=69, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=971, nano=0), high=Quotation(units=972, nano=0), low=Quotation(units=968, nano=500000000), close=Quotation(units=970, nano=0), volume=96, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=970, nano=500000000), high=Quotation(units=971, nano=500000000), low=Quotation(units=969, nano=0), close=Quotation(units=969, nano=500000000), volume=59, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=969, nano=0), high=Quotation(units=969, nano=500000000), low=Quotation(units=969, nano=0), close=Quotation(units=969, nano=500000000), volume=29, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=969, nano=0), high=Quotation(units=974, nano=500000000), low=Quotation(units=969, nano=0), close=Quotation(units=970, nano=0), volume=194, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=972, nano=0), high=Quotation(units=976, nano=0), low=Quotation(units=972, nano=0), close=Quotation(units=976, nano=0), volume=337, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=974, nano=0), high=Quotation(units=978, nano=0), low=Quotation(units=974, nano=0), close=Quotation(units=976, nano=0), volume=73, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=976, nano=0), high=Quotation(units=1007, nano=500000000), low=Quotation(units=976, nano=0), close=Quotation(units=1002, nano=500000000), volume=5629, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1002, nano=500000000), high=Quotation(units=1021, nano=500000000), low=Quotation(units=990, nano=500000000), close=Quotation(units=1005, nano=500000000), volume=6512, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1005, nano=500000000), high=Quotation(units=1024, nano=0), low=Quotation(units=1004, nano=0), close=Quotation(units=1019, nano=500000000), volume=6209, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1014, nano=500000000), high=Quotation(units=1018, nano=0), low=Quotation(units=995, nano=0), close=Quotation(units=1006, nano=500000000), volume=3195, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1007, nano=0), high=Quotation(units=1008, nano=0), low=Quotation(units=998, nano=0), close=Quotation(units=1004, nano=500000000), volume=2536, time=datetime.datetime(2023, 9, 4, 7, 21, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1004, nano=500000000), high=Quotation(units=1013, nano=0), low=Quotation(units=1002, nano=500000000), close=Quotation(units=1009, nano=500000000), volume=1349, time=datetime.datetime(2023, 9, 4, 7, 22, tzinfo=datetime.timezone.utc), is_complete=True)
