HistoricCandle(open=Quotation(units=1, nano=60500000), high=Quotation(units=1, nano=60500000), low=Quotation(units=1, nano=41300000), close=Quotation(units=1, nano=49100000), volume=5078, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=48000000), high=Quotation(units=1, nano=76700000), low=Quotation(units=1, nano=47600000), close=Quotation(units=1, nano=70000000), volume=3994, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=69200000), high=Quotation(units=1, nano=77900000), low=Quotation(units=1, nano=59800000), close=Quotation(units=1, nano=71000000), volume=7632, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=71000000), high=Quotation(units=1, nano=71000000), low=Quotation(units=1, nano=62000000), close=Quotation(units=1, nano=70000000), volume=4406, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=68500000), high=Quotation(units=1, nano=80000000), low=Quotation(units=1, nano=67200000), close=Quotation(units=1, nano=69800000), volume=7727, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=69800000), high=Quotation(units=1, nano=75000000), low=Quotation(units=1, nano=65000000), close=Quotation(units=1, nano=71000000), volume=5803, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=71100000), high=Quotation(units=1, nano=73500000), low=Quotation(units=1, nano=71000000), close=Quotation(units=1, nano=72800000), volume=3219, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=72000000), high=Quotation(units=1, nano=74200000), low=Quotation(units=1, nano=70100000), close=Quotation(units=1, nano=73800000), volume=3586, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=73000000), high=Quotation(units=1, nano=74800000), low=Quotation(units=1, nano=72000000), close=Quotation(units=1, nano=73600000), volume=3669, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=73600000), high=Quotation(units=1, nano=77900000), low=Quotation(units=1, nano=68000000), close=Quotation(units=1, nano=76100000), volume=7250, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1, nano=76400000), high=Quotation(units=1, nano=97700000), low=Quotation(units=1, nano=76000000), close=Quotation(units=1, nano=97000000), volume=16674, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
