HistoricCandle(open=Quotation(units=690, nano=0), high=Quotation(units=690, nano=0), low=Quotation(units=682, nano=500000000), close=Quotation(units=687, nano=0), volume=6359, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=687, nano=0), high=Quotation(units=689, nano=500000000), low=Quotation(units=686, nano=500000000), close=Quotation(units=688, nano=0), volume=2739, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=688, nano=0), high=Quotation(units=688, nano=500000000), low=Quotation(units=686, nano=0), close=Quotation(units=686, nano=500000000), volume=5311, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=688, nano=500000000), high=Quotation(units=690, nano=0), low=Quotation(units=687, nano=0), close=Quotation(units=688, nano=0), volume=4204, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=689, nano=500000000), high=Quotation(units=690, nano=0), low=Quotation(units=687, nano=0), close=Quotation(units=687, nano=0), volume=3944, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=688, nano=500000000), high=Quotation(units=688, nano=500000000), low=Quotation(units=687, nano=0), close=Quotation(units=687, nano=0), volume=1526, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=687, nano=0), high=Quotation(units=689, nano=0), low=Quotation(units=687, nano=0), close=Quotation(units=689, nano=0), volume=1051, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=688, nano=500000000), high=Quotation(units=692, nano=500000000), low=Quotation(units=688, nano=500000000), close=Quotation(units=690, nano=500000000), volume=3867, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=691, nano=0), high=Quotation(units=692, nano=0), low=Quotation(units=690, nano=0), close=Quotation(units=691, nano=0), volume=1148, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=690, nano=500000000), high=Quotation(units=691, nano=500000000), low=Quotation(units=689, nano=500000000), close=Quotation(units=690, nano=0), volume=2159, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=689, nano=500000000), high=Quotation(units=692, nano=0), low=Quotation(units=689, nano=500000000), close=Quotation(units=692, nano=0), volume=2640, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=692, nano=0), high=Quotation(units=692, nano=0), low=Quotation(units=690, nano=500000000), close=Quotation(units=691, nano=500000000), volume=1142, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=691, nano=500000000), high=Quotation(units=691, nano=500000000), low=Quotation(units=689, nano=0), close=Quotation(units=690, nano=0), volume=3875, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=690, nano=0), high=Quotation(units=690, nano=0), low=Quotation(units=689, nano=0), close=Quotation(units=689, nano=0), volume=493, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=690, nano=0), high=Quotation(units=692, nano=0), low=Quotation(units=690, nano=0), close=Quotation(units=690, nano=0), volume=3518, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=690, nano=0), high=Quotation(units=690, nano=500000000), low=Quotation(units=689, nano=500000000), close=Quotation(units=690, nano=500000000), volume=1321, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=689, nano=500000000), high=Quotation(units=690, nano=0), low=Quotation(units=689, nano=0), close=Quotation(units=689, nano=0), volume=1192, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
