HistoricCandle(open=Quotation(units=2684, nano=200000000), high=Quotation(units=2706, nano=0), low=Quotation(units=2684, nano=200000000), close=Quotation(units=2706, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2706, nano=200000000), high=Quotation(units=2711, nano=200000000), low=Quotation(units=2684, nano=600000000), close=Quotation(units=2711, nano=200000000), volume=80, time=datetime.datetime(2023, 9, 2, 11, 48, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2689, nano=200000000), high=Quotation(units=2712, nano=200000000), low=Quotation(units=2689, nano=200000000), close=Quotation(units=2712, nano=200000000), volume=18, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=400000000), high=Quotation(units=2712, nano=400000000), low=Quotation(units=2690, nano=600000000), close=Quotation(units=2690, nano=600000000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=400000000), high=Quotation(units=2712, nano=400000000), low=Quotation(units=2712, nano=400000000), close=Quotation(units=2712, nano=400000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2689, nano=200000000), high=Quotation(units=2709, nano=0), low=Quotation(units=2687, nano=400000000), close=Quotation(units=2709, nano=0), volume=45, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2687, nano=200000000), high=Quotation(units=2708, nano=600000000), low=Quotation(units=2686, nano=600000000), close=Quotation(units=2708, nano=600000000), volume=14, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2708, nano=800000000), high=Quotation(units=2709, nano=600000000), low=Quotation(units=2708, nano=800000000), close=Quotation(units=2709, nano=600000000), volume=15, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2710, nano=400000000), high=Quotation(units=2710, nano=400000000), low=Quotation(units=2710, nano=400000000), close=Quotation(units=2710, nano=400000000), volume=15, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2711, nano=0), high=Quotation(units=2711, nano=600000000), low=Quotation(units=2689, nano=600000000), close=Quotation(units=2689, nano=600000000), volume=9, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2711, nano=400000000), high=Quotation(units=2711, nano=600000000), low=Quotation(units=2689, nano=800000000), close=Quotation(units=2689, nano=800000000), volume=4, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2688, nano=0), high=Quotation(units=2688, nano=0), low=Quotation(units=2688, nano=0), close=Quotation(units=2688, nano=0), volume=44, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2708, nano=200000000), high=Quotation(units=2710, nano=400000000), low=Quotation(units=2708, nano=200000000), close=Quotation(units=2710, nano=400000000), volume=56, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=600000000), high=Quotation(units=2713, nano=400000000), low=Quotation(units=2691, nano=800000000), close=Quotation(units=2691, nano=800000000), volume=28, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2713, nano=600000000), high=Quotation(units=2713, nano=800000000), low=Quotation(units=2692, nano=0), close=Quotation(units=2692, nano=0), volume=8, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2691, nano=800000000), high=Quotation(units=2714, nano=600000000), low=Quotation(units=2691, nano=400000000), close=Quotation(units=2692, nano=0), volume=38, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2691, nano=800000000), high=Quotation(units=2713, nano=600000000), low=Quotation(units=2691, nano=600000000), close=Quotation(units=2713, nano=600000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2691, nano=600000000), high=Quotation(units=2691, nano=600000000), low=Quotation(units=2690, nano=800000000), close=Quotation(units=2690, nano=800000000), volume=12, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2690, nano=400000000), high=Quotation(units=2712, nano=0), low=Quotation(units=2690, nano=200000000), close=Quotation(units=2690, nano=200000000), volume=17, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=200000000), high=Quotation(units=2712, nano=600000000), low=Quotation(units=2712, nano=200000000), close=Quotation(units=2712, nano=600000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2713, nano=0), high=Quotation(units=2713, nano=200000000), low=Quotation(units=2690, nano=400000000), close=Quotation(units=2690, nano=400000000), volume=21, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=400000000), high=Quotation(units=2712, nano=600000000), low=Quotation(units=2690, nano=400000000), close=Quotation(units=2712, nano=0), volume=16, time=datetime.datetime(2023, 9, 2, 12, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=0), high=Quotation(units=2712, nano=600000000), low=Quotation(units=2690, nano=400000000), close=Quotation(units=2712, nano=600000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=600000000), high=Quotation(units=2712, nano=600000000), low=Quotation(units=2690, nano=800000000), close=Quotation(units=2690, nano=800000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2690, nano=800000000), high=Quotation(units=2712, nano=800000000), low=Quotation(units=2690, nano=800000000), close=Quotation(units=2691, nano=0), volume=8, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2690, nano=800000000), high=Quotation(units=2713, nano=200000000), low=Quotation(units=2690, nano=600000000), close=Quotation(units=2690, nano=600000000), volume=25, time=datetime.datetime(2023, 9, 2, 12, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=2712, nano=400000000), high=Quotation(units=2712, nano=600000000), low=Quotation(units=2690, nano=600000000), close=Quotation(units=2690, nano=600000000), volume=6, time=datetime.datetime(2023, 9, 2, 12, 14, tzinfo=datetime.timezone.utc), is_complete=True)
