HistoricCandle(open=Quotation(units=1238, nano=200000000), high=Quotation(units=1238, nano=200000000), low=Quotation(units=1228, nano=200000000), close=Quotation(units=1228, nano=200000000), volume=7, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1238, nano=200000000), high=Quotation(units=1238, nano=200000000), low=Quotation(units=1238, nano=200000000), close=Quotation(units=1238, nano=200000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1238, nano=200000000), high=Quotation(units=1238, nano=200000000), low=Quotation(units=1238, nano=200000000), close=Quotation(units=1238, nano=200000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1238, nano=400000000), high=Quotation(units=1238, nano=400000000), low=Quotation(units=1228, nano=400000000), close=Quotation(units=1228, nano=400000000), volume=12, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1238, nano=400000000), high=Quotation(units=1238, nano=800000000), low=Quotation(units=1238, nano=400000000), close=Quotation(units=1238, nano=800000000), volume=32, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1228, nano=800000000), high=Quotation(units=1228, nano=800000000), low=Quotation(units=1228, nano=800000000), close=Quotation(units=1228, nano=800000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1239, nano=0), high=Quotation(units=1239, nano=0), low=Quotation(units=1228, nano=800000000), close=Quotation(units=1228, nano=800000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1228, nano=800000000), high=Quotation(units=1228, nano=800000000), low=Quotation(units=1228, nano=800000000), close=Quotation(units=1228, nano=800000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1228, nano=800000000), high=Quotation(units=1239, nano=0), low=Quotation(units=1228, nano=800000000), close=Quotation(units=1239, nano=0), volume=2, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1239, nano=0), high=Quotation(units=1239, nano=0), low=Quotation(units=1239, nano=0), close=Quotation(units=1239, nano=0), volume=8, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=1229, nano=0), high=Quotation(units=1229, nano=0), low=Quotation(units=1229, nano=0), close=Quotation(units=1229, nano=0), volume=1, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
