HistoricCandle(open=Quotation(units=42, nano=390000000), high=Quotation(units=42, nano=395000000), low=Quotation(units=42, nano=390000000), close=Quotation(units=42, nano=395000000), volume=19, time=datetime.datetime(2023, 9, 2, 11, 47, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=395000000), high=Quotation(units=42, nano=395000000), low=Quotation(units=42, nano=395000000), close=Quotation(units=42, nano=395000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 49, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=395000000), high=Quotation(units=42, nano=395000000), low=Quotation(units=42, nano=395000000), close=Quotation(units=42, nano=395000000), volume=3, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=395000000), high=Quotation(units=42, nano=400000000), low=Quotation(units=42, nano=15000000), close=Quotation(units=42, nano=15000000), volume=463, time=datetime.datetime(2023, 9, 2, 11, 51, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=315000000), high=Quotation(units=42, nano=315000000), low=Quotation(units=42, nano=315000000), close=Quotation(units=42, nano=315000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=41, nano=975000000), high=Quotation(units=42, nano=320000000), low=Quotation(units=41, nano=975000000), close=Quotation(units=42, nano=320000000), volume=54, time=datetime.datetime(2023, 9, 2, 11, 53, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=335000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=335000000), close=Quotation(units=42, nano=350000000), volume=165, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=355000000), high=Quotation(units=42, nano=355000000), low=Quotation(units=42, nano=355000000), close=Quotation(units=42, nano=355000000), volume=6, time=datetime.datetime(2023, 9, 2, 11, 55, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=10000000), high=Quotation(units=42, nano=10000000), low=Quotation(units=42, nano=10000000), close=Quotation(units=42, nano=10000000), volume=46, time=datetime.datetime(2023, 9, 2, 11, 56, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=345000000), high=Quotation(units=42, nano=345000000), low=Quotation(units=42, nano=345000000), close=Quotation(units=42, nano=345000000), volume=5, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=10000000), high=Quotation(units=42, nano=10000000), low=Quotation(units=42, nano=10000000), close=Quotation(units=42, nano=10000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=5000000), high=Quotation(units=42, nano=345000000), low=Quotation(units=42, nano=5000000), close=Quotation(units=42, nano=345000000), volume=19, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=42, nano=350000000), high=Quotation(units=42, nano=350000000), low=Quotation(units=42, nano=350000000), close=Quotation(units=42, nano=350000000), volume=3, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
