HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=700000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=700000000), volume=32, time=datetime.datetime(2023, 9, 2, 11, 50, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=700000000), high=Quotation(units=180, nano=700000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=280, time=datetime.datetime(2023, 9, 2, 11, 52, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=100000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=180, nano=600000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 54, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=100000000), high=Quotation(units=179, nano=100000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=2, time=datetime.datetime(2023, 9, 2, 11, 57, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=100000000), high=Quotation(units=179, nano=100000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=1, time=datetime.datetime(2023, 9, 2, 11, 58, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=600000000), volume=6, time=datetime.datetime(2023, 9, 2, 11, 59, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=179, nano=100000000), high=Quotation(units=179, nano=100000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=600000000), volume=83, time=datetime.datetime(2023, 9, 2, 12, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=13, time=datetime.datetime(2023, 9, 2, 12, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=600000000), volume=4, time=datetime.datetime(2023, 9, 2, 12, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=2, time=datetime.datetime(2023, 9, 2, 12, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=10, time=datetime.datetime(2023, 9, 2, 12, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=180, nano=600000000), volume=39, time=datetime.datetime(2023, 9, 2, 12, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=600000000), high=Quotation(units=180, nano=600000000), low=Quotation(units=180, nano=600000000), close=Quotation(units=180, nano=600000000), volume=1, time=datetime.datetime(2023, 9, 2, 12, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=180, nano=700000000), high=Quotation(units=180, nano=700000000), low=Quotation(units=179, nano=100000000), close=Quotation(units=179, nano=100000000), volume=104, time=datetime.datetime(2023, 9, 2, 12, 12, tzinfo=datetime.timezone.utc), is_complete=True)
