HistoricCandle(open=Quotation(units=593, nano=400000000), high=Quotation(units=620, nano=0), low=Quotation(units=591, nano=150000000), close=Quotation(units=615, nano=100000000), volume=13498, time=datetime.datetime(2023, 9, 4, 7, 0, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=619, nano=0), high=Quotation(units=620, nano=0), low=Quotation(units=598, nano=850000000), close=Quotation(units=613, nano=850000000), volume=8153, time=datetime.datetime(2023, 9, 4, 7, 1, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=613, nano=750000000), high=Quotation(units=626, nano=400000000), low=Quotation(units=609, nano=250000000), close=Quotation(units=624, nano=600000000), volume=10075, time=datetime.datetime(2023, 9, 4, 7, 2, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=624, nano=600000000), high=Quotation(units=626, nano=400000000), low=Quotation(units=620, nano=0), close=Quotation(units=621, nano=550000000), volume=7679, time=datetime.datetime(2023, 9, 4, 7, 3, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=621, nano=500000000), high=Quotation(units=621, nano=550000000), low=Quotation(units=611, nano=100000000), close=Quotation(units=619, nano=500000000), volume=3321, time=datetime.datetime(2023, 9, 4, 7, 4, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=619, nano=200000000), high=Quotation(units=620, nano=0), low=Quotation(units=611, nano=0), close=Quotation(units=612, nano=400000000), volume=2800, time=datetime.datetime(2023, 9, 4, 7, 5, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=612, nano=400000000), high=Quotation(units=613, nano=950000000), low=Quotation(units=603, nano=250000000), close=Quotation(units=611, nano=500000000), volume=4219, time=datetime.datetime(2023, 9, 4, 7, 6, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=611, nano=50000000), high=Quotation(units=627, nano=0), low=Quotation(units=609, nano=700000000), close=Quotation(units=622, nano=550000000), volume=8458, time=datetime.datetime(2023, 9, 4, 7, 7, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=623, nano=0), high=Quotation(units=628, nano=250000000), low=Quotation(units=622, nano=550000000), close=Quotation(units=628, nano=200000000), volume=6824, time=datetime.datetime(2023, 9, 4, 7, 8, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=628, nano=250000000), high=Quotation(units=628, nano=250000000), low=Quotation(units=627, nano=0), close=Quotation(units=628, nano=250000000), volume=4671, time=datetime.datetime(2023, 9, 4, 7, 9, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=628, nano=250000000), high=Quotation(units=628, nano=250000000), low=Quotation(units=624, nano=0), close=Quotation(units=625, nano=500000000), volume=4320, time=datetime.datetime(2023, 9, 4, 7, 10, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=627, nano=500000000), high=Quotation(units=628, nano=250000000), low=Quotation(units=624, nano=700000000), close=Quotation(units=627, nano=0), volume=4264, time=datetime.datetime(2023, 9, 4, 7, 11, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=627, nano=0), high=Quotation(units=628, nano=250000000), low=Quotation(units=627, nano=0), close=Quotation(units=627, nano=450000000), volume=2815, time=datetime.datetime(2023, 9, 4, 7, 12, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=627, nano=450000000), high=Quotation(units=628, nano=250000000), low=Quotation(units=627, nano=100000000), close=Quotation(units=628, nano=0), volume=3357, time=datetime.datetime(2023, 9, 4, 7, 13, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=627, nano=900000000), high=Quotation(units=628, nano=200000000), low=Quotation(units=615, nano=500000000), close=Quotation(units=615, nano=500000000), volume=6401, time=datetime.datetime(2023, 9, 4, 7, 14, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=615, nano=500000000), high=Quotation(units=624, nano=0), low=Quotation(units=613, nano=550000000), close=Quotation(units=623, nano=500000000), volume=2663, time=datetime.datetime(2023, 9, 4, 7, 15, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=623, nano=100000000), high=Quotation(units=626, nano=0), low=Quotation(units=622, nano=850000000), close=Quotation(units=624, nano=550000000), volume=1305, time=datetime.datetime(2023, 9, 4, 7, 16, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=624, nano=600000000), high=Quotation(units=625, nano=350000000), low=Quotation(units=624, nano=0), close=Quotation(units=624, nano=50000000), volume=1225, time=datetime.datetime(2023, 9, 4, 7, 17, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=624, nano=150000000), high=Quotation(units=625, nano=0), low=Quotation(units=622, nano=0), close=Quotation(units=622, nano=0), volume=1575, time=datetime.datetime(2023, 9, 4, 7, 18, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=622, nano=650000000), high=Quotation(units=624, nano=0), low=Quotation(units=621, nano=0), close=Quotation(units=622, nano=200000000), volume=1026, time=datetime.datetime(2023, 9, 4, 7, 19, tzinfo=datetime.timezone.utc), is_complete=True)
HistoricCandle(open=Quotation(units=622, nano=0), high=Quotation(units=624, nano=250000000), low=Quotation(units=621, nano=0), close=Quotation(units=623, nano=0), volume=1031, time=datetime.datetime(2023, 9, 4, 7, 20, tzinfo=datetime.timezone.utc), is_complete=True)
